,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,3221000000.0,2654000000.0,2141000000.0,1035000000.0,
Repurchase Of Capital Stock,-849000000.0,-729000000.0,-1136000000.0,-923000000.0,
Repayment Of Debt,-878000000.0,-640000000.0,-1193000000.0,-1726000000.0,
Issuance Of Debt,778000000.0,573000000.0,1199000000.0,2659000000.0,
Capital Expenditure,-686000000.0,-660000000.0,-482000000.0,-710000000.0,
Interest Paid Supplemental Data,385000000.0,380000000.0,391000000.0,,
Income Tax Paid Supplemental Data,304000000.0,376000000.0,256000000.0,,
End Cash Position,399000000.0,532000000.0,621000000.0,478000000.0,
Beginning Cash Position,532000000.0,621000000.0,478000000.0,336000000.0,
Effect Of Exchange Rate Changes,5000000.0,-19000000.0,-4000000.0,9000000.0,
Changes In Cash,-138000000.0,-70000000.0,147000000.0,133000000.0,
Financing Cash Flow,-1300000000.0,-1037000000.0,-1289000000.0,-198000000.0,
Cash Flow From Continuing Financing Activities,-1300000000.0,-1037000000.0,-1289000000.0,-198000000.0,
Net Other Financing Charges,-294000000.0,-180000000.0,-94000000.0,-138000000.0,
Cash Dividends Paid,-57000000.0,-61000000.0,-65000000.0,-70000000.0,
Common Stock Dividend Paid,-57000000.0,-61000000.0,-65000000.0,-70000000.0,
Net Common Stock Issuance,-849000000.0,-729000000.0,-1136000000.0,-923000000.0,
Common Stock Payments,-849000000.0,-729000000.0,-1136000000.0,-923000000.0,
Net Issuance Payments Of Debt,-100000000.0,-67000000.0,6000000.0,933000000.0,
Net Long Term Debt Issuance,-100000000.0,-67000000.0,6000000.0,933000000.0,
Long Term Debt Payments,-878000000.0,-640000000.0,-1193000000.0,-1726000000.0,
Long Term Debt Issuance,778000000.0,573000000.0,1199000000.0,2659000000.0,
Investing Cash Flow,-2745000000.0,-2347000000.0,-1187000000.0,-1414000000.0,
Cash Flow From Continuing Investing Activities,-2745000000.0,-2347000000.0,-1187000000.0,-1414000000.0,
Net Other Investing Changes,-178000000.0,-92000000.0,87000000.0,-610000000.0,
Net Investment Purchase And Sale,-1309000000.0,-1366000000.0,-1156000000.0,-275000000.0,
Sale Of Investment,5680000000.0,8776000000.0,8596000000.0,10446000000.0,
Purchase Of Investment,-6989000000.0,-10142000000.0,-9752000000.0,-10721000000.0,
Net Business Purchase And Sale,-572000000.0,-229000000.0,364000000.0,181000000.0,
Sale Of Business,231000000.0,187000000.0,804000000.0,463000000.0,
Purchase Of Business,-803000000.0,-416000000.0,-440000000.0,-282000000.0,
Net PPE Purchase And Sale,-686000000.0,-660000000.0,-482000000.0,-710000000.0,
Purchase Of PPE,-686000000.0,-660000000.0,-482000000.0,-710000000.0,
Operating Cash Flow,3907000000.0,3314000000.0,2623000000.0,1745000000.0,
Cash Flow From Continuing Operating Activities,3907000000.0,3314000000.0,2623000000.0,1745000000.0,
Change In Working Capital,1708000000.0,1568000000.0,948000000.0,385000000.0,
Change In Other Current Liabilities,-95000000.0,137000000.0,897000000.0,256000000.0,
Change In Other Current Assets,-88000000.0,-391000000.0,-946000000.0,-513000000.0,
Change In Receivables,-268000000.0,-316000000.0,-1409000000.0,-425000000.0,
Other Non Cash Items,109000000.0,90000000.0,81000000.0,61000000.0,
Asset Impairment Charge,,33000000.0,10000000.0,810000000.0,99000000.0
Amortization Of Securities,-191000000.0,-129000000.0,-81000000.0,-67000000.0,
Deferred Tax,127000000.0,-50000000.0,209000000.0,-235000000.0,
Deferred Income Tax,127000000.0,-50000000.0,209000000.0,-235000000.0,
Depreciation And Amortization,538000000.0,509000000.0,515000000.0,734000000.0,
Operating Gains Losses,71000000.0,435000000.0,-734000000.0,1348000000.0,
Earnings Losses From Equity Investments,18000000.0,236000000.0,-74000000.0,102000000.0,
Gain Loss On Investment Securities,53000000.0,199000000.0,-660000000.0,1246000000.0,
Net Income From Continuing Operations,1545000000.0,891000000.0,1685000000.0,-1291000000.0,
