,2024-01-31,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Free Cash Flow,1644299000.0,327806000.0,994606000.0,574110000.0,
Repurchase Of Capital Stock,-558652000.0,-444001000.0,-812602000.0,-96051000.0,
Capital Expenditure,-651865000.0,-638657000.0,-394502000.0,-229226000.0,
Interest Paid Supplemental Data,234000.0,116000.0,12000.0,,325000.0
Income Tax Paid Supplemental Data,824213000.0,502136000.0,245213000.0,,305493000.0
End Cash Position,2243971000.0,1154867000.0,1259871000.0,1150517000.0,
Beginning Cash Position,1154867000.0,1259871000.0,1150517000.0,1093505000.0,
Effect Of Exchange Rate Changes,-4100000.0,-34043000.0,-6876000.0,29996000.0,
Changes In Cash,1093204000.0,-70961000.0,116230000.0,27016000.0,
Financing Cash Flow,-548828000.0,-467487000.0,-844987000.0,-80788000.0,
Cash Flow From Continuing Financing Activities,-548828000.0,-467487000.0,-844987000.0,-80788000.0,
Net Other Financing Charges,-32000.0,-32000.0,-770000.0,-32388000.0,
Proceeds From Stock Option Exercised,9856000.0,-23454000.0,-31615000.0,15263000.0,
Net Common Stock Issuance,-558652000.0,-444001000.0,-812602000.0,-96051000.0,
Common Stock Payments,-558652000.0,-444001000.0,-812602000.0,-96051000.0,
Investing Cash Flow,-654132000.0,-569937000.0,-427891000.0,-695532000.0,
Cash Flow From Continuing Investing Activities,-654132000.0,-569937000.0,-427891000.0,-695532000.0,
Net Other Investing Changes,-658000.0,20916000.0,-10000000.0,882000.0,
Net Investment Purchase And Sale,-1609000.0,47804000.0,-23389000.0,-14607000.0,
Sale Of Investment,,,,,347000.0
Purchase Of Investment,,,-23389000.0,-14607000.0,
Net Business Purchase And Sale,,0.0,0.0,-452581000.0,0.0
Purchase Of Business,,0.0,0.0,-452581000.0,0.0
Net PPE Purchase And Sale,-651865000.0,-638657000.0,-394502000.0,-229226000.0,
Purchase Of PPE,-651865000.0,-638657000.0,-394502000.0,-229226000.0,
Operating Cash Flow,2296164000.0,966463000.0,1389108000.0,803336000.0,
Cash Flow From Continuing Operating Activities,2296164000.0,966463000.0,1389108000.0,803336000.0,
Change In Working Capital,199223000.0,-659920000.0,129131000.0,-47549000.0,
Change In Other Working Capital,192177000.0,139425000.0,160208000.0,54537000.0,
Change In Other Current Liabilities,12230000.0,-2925000.0,30073000.0,10784000.0,
Change In Other Current Assets,-53280000.0,-36518000.0,-17556000.0,-49056000.0,
Change In Payables And Accrued Expense,-67563000.0,-5930000.0,342311000.0,157699000.0,
Change In Accrued Expense,-71734000.0,65364000.0,103878000.0,99161000.0,
Change In Payable,4171000.0,-71294000.0,238433000.0,58538000.0,
Change In Account Payable,177367000.0,-107280000.0,117655000.0,82663000.0,
Change In Tax Payable,-173196000.0,35986000.0,120778000.0,-24125000.0,
Change In Income Tax Payable,-173196000.0,35986000.0,120778000.0,-24125000.0,
Change In Prepaid Assets,49075000.0,-180534000.0,-62296000.0,-124965000.0,
Change In Inventory,66584000.0,-573438000.0,-323609000.0,-96548000.0,
Other Non Cash Items,-28547000.0,-23337000.0,-18699000.0,-13696000.0,
Stock Based Compensation,93560000.0,78075000.0,69137000.0,50797000.0,
Provisionand Write Offof Assets,23709000.0,62928000.0,0.0,,
Asset Impairment Charge,74501000.0,407913000.0,0.0,0.0,
Deferred Tax,-28383000.0,3042000.0,-5180000.0,34908000.0,
Deferred Income Tax,-28383000.0,3042000.0,-5180000.0,34908000.0,
Depreciation Amortization Depletion,379384000.0,291791000.0,224206000.0,185478000.0,
Depreciation And Amortization,379384000.0,291791000.0,224206000.0,185478000.0,
Amortization Cash Flow,5000000.0,8800000.0,8800000.0,,
Amortization Of Intangibles,5000000.0,8800000.0,8800000.0,,
Depreciation,374000000.0,282700000.0,215300000.0,,
Operating Gains Losses,32527000.0,-48829000.0,15191000.0,4485000.0,
Gain Loss On Investment Securities,32527000.0,-38649000.0,15191000.0,4485000.0,
Gain Loss On Sale Of PPE,,-10180000.0,0.0,0.0,
Net Income From Continuing Operations,1550190000.0,854800000.0,975322000.0,588913000.0,
