,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,1170000000.0,616000000.0,802000000.0,839000000.0,
Repurchase Of Capital Stock,-353000000.0,-914000000.0,-1026000000.0,-727000000.0,
Repayment Of Debt,-282000000.0,-310000000.0,-1329000000.0,-402000000.0,
Issuance Of Debt,77000000.0,500000000.0,1481000000.0,415000000.0,
Capital Expenditure,-243000000.0,-224000000.0,-128000000.0,-114000000.0,
End Cash Position,634000000.0,452000000.0,926000000.0,1326000000.0,
Beginning Cash Position,452000000.0,926000000.0,1326000000.0,697000000.0,
Effect Of Exchange Rate Changes,6000000.0,-18000000.0,-20000000.0,31000000.0,
Changes In Cash,176000000.0,-456000000.0,-380000000.0,598000000.0,
Financing Cash Flow,-854000000.0,-1066000000.0,-1298000000.0,-886000000.0,
Cash Flow From Continuing Financing Activities,-855000000.0,-1066000000.0,-1298000000.0,-886000000.0,
Net Other Financing Charges,-77000000.0,-85000000.0,-218000000.0,-53000000.0,
Proceeds From Stock Option Exercised,38000000.0,1000000.0,5000000.0,26000000.0,
Cash Dividends Paid,-257000000.0,-258000000.0,-211000000.0,-145000000.0,
Common Stock Dividend Paid,-257000000.0,-258000000.0,-211000000.0,-145000000.0,
Net Common Stock Issuance,-353000000.0,-914000000.0,-1026000000.0,-727000000.0,
Common Stock Payments,-353000000.0,-914000000.0,-1026000000.0,-727000000.0,
Net Issuance Payments Of Debt,-205000000.0,190000000.0,152000000.0,13000000.0,
Net Short Term Debt Issuance,0.0,0.0,155000000.0,15000000.0,
Short Term Debt Payments,-77000000.0,0.0,-1326000000.0,-400000000.0,
Short Term Debt Issuance,77000000.0,0.0,1481000000.0,415000000.0,
Net Long Term Debt Issuance,-205000000.0,190000000.0,-3000000.0,-2000000.0,
Long Term Debt Payments,-205000000.0,-310000000.0,-3000000.0,-2000000.0,
Long Term Debt Issuance,0.0,500000000.0,0.0,415000000.0,
Investing Cash Flow,-383000000.0,-230000000.0,-12000000.0,531000000.0,
Cash Flow From Continuing Investing Activities,-383000000.0,-230000000.0,-12000000.0,531000000.0,
Net Other Investing Changes,-6000000.0,-7000000.0,-3000000.0,-2000000.0,
Net Investment Purchase And Sale,2000000.0,1000000.0,171000000.0,3000000.0,
Sale Of Investment,2000000.0,1000000.0,171000000.0,3000000.0,
Purchase Of Investment,,,,,0.0
Net Business Purchase And Sale,-136000000.0,0.0,-52000000.0,643000000.0,
Sale Of Business,0.0,0.0,5000000.0,870000000.0,
Purchase Of Business,-136000000.0,0.0,-57000000.0,-227000000.0,
Net PPE Purchase And Sale,,1000000.0,0.0,1000000.0,34000000.0
Sale Of PPE,,1000000.0,0.0,1000000.0,34000000.0
Capital Expenditure Reported,-243000000.0,-224000000.0,-128000000.0,-114000000.0,
Operating Cash Flow,1413000000.0,840000000.0,930000000.0,953000000.0,
Cash Flow From Continuing Operating Activities,1414000000.0,840000000.0,930000000.0,953000000.0,
Dividend Paid Cfo,0.0,0.0,-6000000.0,-10000000.0,
Change In Working Capital,241000000.0,-283000000.0,-224000000.0,102000000.0,
Change In Payables And Accrued Expense,-34000000.0,-225000000.0,190000000.0,332000000.0,
Change In Inventory,233000000.0,-43000000.0,-350000000.0,-89000000.0,
Change In Receivables,42000000.0,-15000000.0,-64000000.0,-141000000.0,
Other Non Cash Items,26000000.0,-7000000.0,13000000.0,17000000.0,
Stock Based Compensation,31000000.0,49000000.0,61000000.0,45000000.0,
Asset Impairment Charge,15000000.0,26000000.0,45000000.0,0.0,
Deferred Tax,-3000000.0,2000000.0,-53000000.0,22000000.0,
Deferred Income Tax,-3000000.0,2000000.0,-53000000.0,22000000.0,
Depreciation Amortization Depletion,149000000.0,145000000.0,151000000.0,133000000.0,
Depreciation And Amortization,149000000.0,145000000.0,151000000.0,133000000.0,
Amortization Cash Flow,34000000.0,33000000.0,,,
Amortization Of Intangibles,34000000.0,33000000.0,,,
Depreciation,115000000.0,112000000.0,,,
Operating Gains Losses,-6000000.0,3000000.0,465000000.0,-632000000.0,
Pension And Employee Benefit Expense,-6000000.0,-3000000.0,312000000.0,-32000000.0,
Gain Loss On Investment Securities,,5000000.0,-25000000.0,-3000000.0,-1000000.0
Gain Loss On Sale Of Business,0.0,1000000.0,18000000.0,-602000000.0,
Net Income From Continuing Operations,960000000.0,905000000.0,478000000.0,1276000000.0,
