,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,3602000000.0,3002000000.0,3176000000.0,3101000000.0
Repurchase Of Capital Stock,-1547000000.0,-2017000000.0,-2110000000.0,-1390000000.0
Repayment Of Debt,-4368000000.0,-3032000000.0,-6247000000.0,-7168000000.0
Issuance Of Debt,344000000.0,6404000000.0,6115000000.0,7890000000.0
Capital Expenditure,-1112000000.0,-906000000.0,-965000000.0,-863000000.0
Interest Paid Supplemental Data,568000000.0,551000000.0,426000000.0,413000000.0
Income Tax Paid Supplemental Data,1607000000.0,1103000000.0,1556000000.0,1264000000.0
End Cash Position,1884000000.0,1948000000.0,3553000000.0,3650000000.0
Beginning Cash Position,1948000000.0,3553000000.0,3650000000.0,1328000000.0
Effect Of Exchange Rate Changes,-32000000.0,-169000000.0,-143000000.0,73000000.0
Changes In Cash,-32000000.0,-1436000000.0,46000000.0,2249000000.0
Financing Cash Flow,-7558000000.0,-456000000.0,-4069000000.0,-2215000000.0
Cash Flow From Continuing Financing Activities,-7558000000.0,-456000000.0,-4069000000.0,-2215000000.0
Net Other Financing Charges,173000000.0,174000000.0,-1000000.0,131000000.0
Cash Dividends Paid,-2160000000.0,-1985000000.0,-1826000000.0,-1678000000.0
Common Stock Dividend Paid,-2160000000.0,-1985000000.0,-1826000000.0,-1678000000.0
Net Common Stock Issuance,-1547000000.0,-2017000000.0,-2110000000.0,-1390000000.0
Common Stock Payments,-1547000000.0,-2017000000.0,-2110000000.0,-1390000000.0
Net Issuance Payments Of Debt,-4024000000.0,3372000000.0,-132000000.0,722000000.0
Net Short Term Debt Issuance,-1869000000.0,1914000000.0,194000000.0,-2613000000.0
Short Term Debt Payments,-1936000000.0,0.0,0.0,-3290000000.0
Short Term Debt Issuance,67000000.0,1914000000.0,194000000.0,677000000.0
Net Long Term Debt Issuance,-2155000000.0,1458000000.0,-326000000.0,3335000000.0
Long Term Debt Payments,-2432000000.0,-3032000000.0,-6247000000.0,-3878000000.0
Long Term Debt Issuance,277000000.0,4490000000.0,5921000000.0,7213000000.0
Investing Cash Flow,2812000000.0,-4888000000.0,-26000000.0,500000000.0
Cash Flow From Continuing Investing Activities,2812000000.0,-4888000000.0,-26000000.0,500000000.0
Net Investment Purchase And Sale,-213000000.0,658000000.0,19000000.0,10000000.0
Sale Of Investment,177000000.0,768000000.0,105000000.0,10000000.0
Purchase Of Investment,-390000000.0,-110000000.0,-86000000.0,
Net Business Purchase And Sale,4118000000.0,-4685000000.0,706000000.0,1353000000.0
Sale Of Business,4118000000.0,601000000.0,1539000000.0,2489000000.0
Purchase Of Business,-309000000.0,-5286000000.0,-833000000.0,-1136000000.0
Net PPE Purchase And Sale,19000000.0,45000000.0,214000000.0,10000000.0
Sale Of PPE,19000000.0,45000000.0,214000000.0,10000000.0
Capital Expenditure Reported,-1112000000.0,-906000000.0,-965000000.0,-863000000.0
Operating Cash Flow,4714000000.0,3908000000.0,4141000000.0,3964000000.0
Cash Flow From Continuing Operating Activities,4714000000.0,3908000000.0,4141000000.0,3964000000.0
Dividend Received Cfo,137000000.0,184000000.0,172000000.0,246000000.0
Change In Working Capital,-487000000.0,-521000000.0,-649000000.0,-177000000.0
Change In Other Working Capital,-186000000.0,-226000000.0,-313000000.0,-233000000.0
Change In Other Current Liabilities,376000000.0,630000000.0,-502000000.0,-208000000.0
Change In Other Current Assets,-120000000.0,-286000000.0,-169000000.0,-207000000.0
Change In Payables And Accrued Expense,264000000.0,715000000.0,702000000.0,436000000.0
Change In Payable,264000000.0,715000000.0,702000000.0,436000000.0
Change In Account Payable,264000000.0,715000000.0,702000000.0,436000000.0
Change In Inventory,-193000000.0,-635000000.0,-170000000.0,-24000000.0
Change In Receivables,-628000000.0,-719000000.0,-197000000.0,59000000.0
Other Non Cash Items,140000000.0,88000000.0,37000000.0,243000000.0
Stock Based Compensation,146000000.0,120000000.0,121000000.0,126000000.0
Asset Impairment Charge,128000000.0,233000000.0,128000000.0,136000000.0
Deferred Tax,-37000000.0,-42000000.0,205000000.0,-70000000.0
Deferred Income Tax,-37000000.0,-42000000.0,205000000.0,-70000000.0
Depreciation Amortization Depletion,1215000000.0,1107000000.0,1113000000.0,1116000000.0
Depreciation And Amortization,1215000000.0,1107000000.0,1113000000.0,1116000000.0
Operating Gains Losses,-1496000000.0,13000000.0,-1300000000.0,-982000000.0
Earnings Losses From Equity Investments,-625000000.0,-363000000.0,-1135000000.0,-1410000000.0
Gain Loss On Investment Securities,-764000000.0,338000000.0,-267000000.0,243000000.0
Gain Loss On Sale Of Business,-108000000.0,0.0,-8000000.0,0.0
Net Income From Continuing Operations,4968000000.0,2726000000.0,4314000000.0,3569000000.0
