,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,5373058000.0,4126430000.0,2996042000.0,2937005000.0,
Repurchase Of Capital Stock,,0.0,0.0,-42029000.0,0.0
Repayment Of Debt,-839279000.0,-1381005000.0,-2560174000.0,-6782306000.0,
Issuance Of Debt,5755096000.0,4410653000.0,3921026000.0,7824517000.0,
Issuance Of Capital Stock,0.0,0.0,743000.0,2217000.0,
End Cash Position,530388000.0,278483000.0,556117000.0,598086000.0,
Beginning Cash Position,278483000.0,556117000.0,598086000.0,1088855000.0,
Effect Of Exchange Rate Changes,-22038000.0,-20796000.0,-39628000.0,18718000.0,
Changes In Cash,273943000.0,-256838000.0,-2341000.0,-509487000.0,
Financing Cash Flow,1320282000.0,115789000.0,-1008325000.0,-372162000.0,
Cash Flow From Continuing Financing Activities,1320282000.0,115789000.0,-1008325000.0,-372162000.0,
Net Other Financing Charges,-366946000.0,-419136000.0,-497059000.0,359387000.0,
Cash Dividends Paid,-3228589000.0,-2494723000.0,-1872861000.0,-1722989000.0,
Net Preferred Stock Issuance,,0.0,0.0,-7200000.0,0.0
Preferred Stock Payments,,0.0,0.0,-7200000.0,0.0
Net Common Stock Issuance,0.0,0.0,743000.0,-32612000.0,
Common Stock Payments,,0.0,0.0,-34829000.0,0.0
Common Stock Issuance,0.0,0.0,743000.0,2217000.0,
Net Issuance Payments Of Debt,4915817000.0,3029648000.0,1360852000.0,1031252000.0,
Net Short Term Debt Issuance,,,323336000.0,-10959000.0,127566000.0
Net Long Term Debt Issuance,4915817000.0,3029648000.0,1360852000.0,1042211000.0,
Long Term Debt Payments,-839279000.0,-1381005000.0,-2560174000.0,-6782306000.0,
Long Term Debt Issuance,5755096000.0,4410653000.0,3921026000.0,7824517000.0,
Investing Cash Flow,-6419397000.0,-4499057000.0,-1990058000.0,-3074330000.0,
Cash Flow From Continuing Investing Activities,-6419397000.0,-4499057000.0,-1990058000.0,-3074330000.0,
Net Other Investing Changes,37000000.0,,,4312000.0,
Net Investment Purchase And Sale,34883000.0,55823000.0,-13208000.0,-6682000.0,
Sale Of Investment,37113000.0,59281000.0,3305000.0,2352000.0,
Purchase Of Investment,-2230000.0,-3458000.0,-16513000.0,-9034000.0,
Net Investment Properties Purchase And Sale,-6555371000.0,-4189508000.0,-1237022000.0,-1248294000.0,
Sale Of Investment Properties,1764322000.0,2063623000.0,4222290000.0,2281940000.0,
Purchase Of Investment Properties,-8319693000.0,-6253131000.0,-5459312000.0,-3530234000.0,
Net Business Purchase And Sale,64091000.0,-365372000.0,-739828000.0,-1823666000.0,
Sale Of Business,348276000.0,76994000.0,58275000.0,257065000.0,
Purchase Of Business,-284185000.0,-442366000.0,-798103000.0,-2080731000.0,
Operating Cash Flow,5373058000.0,4126430000.0,2996042000.0,2937005000.0,
Cash Flow From Continuing Operating Activities,5373058000.0,4126430000.0,2996042000.0,2937005000.0,
Dividend Received Cfo,680192000.0,410483000.0,440034000.0,450622000.0,
Change In Working Capital,70074000.0,-26224000.0,-165876000.0,-18844000.0,
Change In Payables And Accrued Expense,255059000.0,109030000.0,176858000.0,94105000.0,
Change In Payable,255059000.0,109030000.0,176858000.0,94105000.0,
Change In Account Payable,255059000.0,109030000.0,176858000.0,94105000.0,
Change In Receivables,-184985000.0,-135254000.0,-342734000.0,-112949000.0,
Changes In Account Receivables,-184985000.0,-135254000.0,-342734000.0,-112949000.0,
Other Non Cash Items,-538416000.0,-243973000.0,-139583000.0,-118469000.0,
Stock Based Compensation,267648000.0,175356000.0,113028000.0,109831000.0,
Deferred Tax,17708000.0,12638000.0,1322000.0,744000.0,
Deferred Income Tax,17708000.0,12638000.0,1322000.0,744000.0,
Depreciation Amortization Depletion,2484891000.0,1812777000.0,1577942000.0,1561969000.0,
Depreciation And Amortization,2484891000.0,1812777000.0,1577942000.0,1561969000.0,
Operating Gains Losses,-862184000.0,-1570025000.0,-1979415000.0,-665478000.0,
Earnings Losses From Equity Investments,-307227000.0,-310872000.0,-404255000.0,-297370000.0,
Gain Loss On Investment Securities,-623309000.0,-1187136000.0,-1589587000.0,-717137000.0,
Net Foreign Currency Exchange Gain Loss,71627000.0,-92201000.0,-173026000.0,160739000.0,
Net Income From Continuing Operations,3253145000.0,3555398000.0,3148590000.0,1616630000.0,
