,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,8593000000.0,6694000000.0,7099000000.0,7487000000.0,
Repurchase Of Capital Stock,-1112000000.0,-3320000000.0,-2876000000.0,-985000000.0,
Repayment Of Debt,-1257000000.0,-5284000000.0,-4386000000.0,-4783000000.0,
Issuance Of Debt,3034000000.0,4955000000.0,3105000000.0,675000000.0,
Issuance Of Capital Stock,,,0.0,0.0,734000000.0
Interest Paid Supplemental Data,3551000000.0,1356000000.0,1034000000.0,1691000000.0,
Income Tax Paid Supplemental Data,1125000000.0,1290000000.0,1112000000.0,847000000.0,
End Cash Position,14421000000.0,10430000000.0,8686000000.0,11605000000.0,
Beginning Cash Position,10430000000.0,8686000000.0,11605000000.0,12647000000.0,
Changes In Cash,3991000000.0,1744000000.0,-2919000000.0,-1042000000.0,
Financing Cash Flow,9632000000.0,5284000000.0,-5204000000.0,-8031000000.0,
Cash Flow From Continuing Financing Activities,9632000000.0,5284000000.0,-5204000000.0,-8031000000.0,
Net Other Financing Charges,-22000000.0,-44000000.0,29000000.0,-7000000.0,
Cash Dividends Paid,-448000000.0,-476000000.0,-542000000.0,-562000000.0,
Preferred Stock Dividend Paid,-42000000.0,-42000000.0,-42000000.0,-42000000.0,
Common Stock Dividend Paid,-406000000.0,-434000000.0,-500000000.0,-520000000.0,
Net Preferred Stock Issuance,,,0.0,0.0,734000000.0
Preferred Stock Issuance,,,0.0,0.0,734000000.0
Net Common Stock Issuance,-1112000000.0,-3320000000.0,-2876000000.0,-985000000.0,
Common Stock Payments,-1112000000.0,-3320000000.0,-2876000000.0,-985000000.0,
Net Issuance Payments Of Debt,1777000000.0,-329000000.0,-1281000000.0,-4108000000.0,
Net Long Term Debt Issuance,1777000000.0,-329000000.0,-1281000000.0,-4108000000.0,
Long Term Debt Payments,-1257000000.0,-5284000000.0,-4386000000.0,-4783000000.0,
Long Term Debt Issuance,3034000000.0,4955000000.0,3105000000.0,675000000.0,
Investing Cash Flow,-14234000000.0,-10234000000.0,-4814000000.0,-498000000.0,
Cash Flow From Continuing Investing Activities,-14234000000.0,-10234000000.0,-4814000000.0,-498000000.0,
Net Other Investing Changes,-722000000.0,-549000000.0,-549000000.0,-390000000.0,
Net Investment Purchase And Sale,1388000000.0,118000000.0,2090000000.0,-1530000000.0,
Sale Of Investment,5011000000.0,3984000000.0,5080000000.0,8383000000.0,
Purchase Of Investment,-3623000000.0,-3866000000.0,-2990000000.0,-9913000000.0,
Operating Cash Flow,8593000000.0,6694000000.0,7099000000.0,7487000000.0,
Cash Flow From Continuing Operating Activities,8593000000.0,6694000000.0,7099000000.0,7487000000.0,
Change In Working Capital,-345000000.0,-269000000.0,1021000000.0,291000000.0,
Change In Other Current Assets,7000000.0,21000000.0,37000000.0,19000000.0,
Change In Payables And Accrued Expense,293000000.0,-93000000.0,560000000.0,-67000000.0,
Change In Accrued Expense,293000000.0,-93000000.0,560000000.0,-67000000.0,
Change In Receivables,-645000000.0,-197000000.0,424000000.0,339000000.0,
Changes In Account Receivables,-645000000.0,-197000000.0,424000000.0,339000000.0,
Other Non Cash Items,735000000.0,574000000.0,522000000.0,720000000.0,
Deferred Tax,-458000000.0,-421000000.0,219000000.0,-602000000.0,
Deferred Income Tax,-458000000.0,-421000000.0,219000000.0,-602000000.0,
Depreciation Amortization Depletion,458000000.0,419000000.0,390000000.0,383000000.0,
Depreciation And Amortization,458000000.0,419000000.0,390000000.0,383000000.0,
Net Income From Continuing Operations,2238000000.0,3016000000.0,4221000000.0,1385000000.0,
