,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,20461000000.0,12397000000.0,26413000000.0,27455000000.0,
Repurchase Of Capital Stock,-194000000.0,-890000000.0,-202000000.0,-5498000000.0,
Repayment Of Debt,-16503000000.0,-45193000000.0,-10549000000.0,-49448000000.0,
Issuance Of Debt,15410000000.0,6934000000.0,34444000000.0,41428000000.0,
Issuance Of Capital Stock,3000000.0,28000000.0,96000000.0,3974000000.0,
Capital Expenditure,-17853000000.0,-19626000000.0,-15545000000.0,-15675000000.0,
End Cash Position,6833000000.0,3793000000.0,21316000000.0,9870000000.0,
Beginning Cash Position,3793000000.0,21316000000.0,9870000000.0,12295000000.0,
Changes In Cash,3040000000.0,-17523000000.0,11446000000.0,-2425000000.0,
Financing Cash Flow,-15614000000.0,-23741000000.0,1578000000.0,-32007000000.0,
Cash From Discontinued Financing Activities,0.0,35823000000.0,-316000000.0,,
Cash Flow From Continuing Financing Activities,-15614000000.0,-59564000000.0,1894000000.0,-32007000000.0,
Net Other Financing Charges,-6194000000.0,-10584000000.0,-6827000000.0,-7507000000.0,
Cash Dividends Paid,-8136000000.0,-9859000000.0,-15068000000.0,-14956000000.0,
Preferred Stock Dividend Paid,,,,-1950000000.0,0.0
Common Stock Dividend Paid,-8136000000.0,-9859000000.0,-15068000000.0,-14956000000.0,
Net Preferred Stock Issuance,,0.0,0.0,3869000000.0,1164000000.0
Preferred Stock Payments,,-2665000000.0,0.0,-1950000000.0,0.0
Preferred Stock Issuance,,0.0,0.0,3869000000.0,1164000000.0
Net Common Stock Issuance,-191000000.0,-862000000.0,-106000000.0,-5393000000.0,
Common Stock Payments,-194000000.0,-890000000.0,-202000000.0,-5498000000.0,
Common Stock Issuance,3000000.0,28000000.0,96000000.0,105000000.0,
Net Issuance Payments Of Debt,-1093000000.0,-38259000000.0,23895000000.0,-8020000000.0,
Net Short Term Debt Issuance,947000000.0,-16120000000.0,17003000000.0,-44000000.0,
Short Term Debt Payments,-4459000000.0,-20075000000.0,-7510000000.0,-9484000000.0,
Short Term Debt Issuance,5406000000.0,3955000000.0,24513000000.0,9440000000.0,
Net Long Term Debt Issuance,-2040000000.0,-22139000000.0,6892000000.0,-7976000000.0,
Long Term Debt Payments,-12044000000.0,-25118000000.0,-3039000000.0,-39964000000.0,
Long Term Debt Issuance,10004000000.0,2979000000.0,9931000000.0,31988000000.0,
Investing Cash Flow,-19660000000.0,-25805000000.0,-32090000000.0,-13548000000.0,
Cash From Discontinued Investing Activities,0.0,1094000000.0,399000000.0,,
Cash Flow From Continuing Investing Activities,-19660000000.0,-26899000000.0,-32489000000.0,-13548000000.0,
Net Other Investing Changes,-84000000.0,-3000000.0,6000000.0,337000000.0,
Interest Received Cfi,,,,,-200000000.0
Dividends Received Cfi,2049000000.0,2649000000.0,1323000000.0,0.0,
Net Investment Purchase And Sale,-902000000.0,82000000.0,44000000.0,497000000.0,
Net Business Purchase And Sale,-2870000000.0,-10001000000.0,-18317000000.0,1790000000.0,
Sale Of Business,72000000.0,199000000.0,7136000000.0,3641000000.0,
Purchase Of Business,-2942000000.0,-10200000000.0,-25453000000.0,-1851000000.0,
Net PPE Purchase And Sale,,,,-15675000000.0,-19435000000.0
Purchase Of PPE,,,,-15675000000.0,-19435000000.0
Capital Expenditure Reported,-17853000000.0,-19626000000.0,-15545000000.0,-15675000000.0,
Operating Cash Flow,38314000000.0,32023000000.0,41958000000.0,43130000000.0,
Cash From Discontinued Operating Activities,0.0,-3789000000.0,4788000000.0,,
Cash Flow From Continuing Operating Activities,38314000000.0,35812000000.0,37170000000.0,43130000000.0,
Change In Working Capital,-2456000000.0,-1849000000.0,-4236000000.0,-13317000000.0,
Change In Other Working Capital,1000000.0,-947000000.0,18000000.0,376000000.0,
Change In Other Current Assets,-642000000.0,-674000000.0,-1288000000.0,-13070000000.0,
Change In Payables And Accrued Expense,-1764000000.0,-1109000000.0,-1570000000.0,-1410000000.0,
Change In Receivables,-51000000.0,881000000.0,-1396000000.0,787000000.0,
Changes In Account Receivables,82000000.0,727000000.0,-1125000000.0,2216000000.0,
Other Non Cash Items,688000000.0,-969000000.0,-719000000.0,8752000000.0,
Provisionand Write Offof Assets,1969000000.0,1865000000.0,1241000000.0,1972000000.0,
Asset Impairment Charge,1193000000.0,27498000000.0,213000000.0,18880000000.0,
Deferred Tax,3037000000.0,2975000000.0,7412000000.0,1675000000.0,
Deferred Income Tax,3037000000.0,2975000000.0,7412000000.0,1675000000.0,
Depreciation Amortization Depletion,18777000000.0,18021000000.0,17852000000.0,28516000000.0,
Depreciation And Amortization,18777000000.0,18021000000.0,17852000000.0,28516000000.0,
Amortization Cash Flow,184000000.0,169000000.0,218000000.0,8603000000.0,
Amortization Of Intangibles,184000000.0,169000000.0,218000000.0,8603000000.0,
Depreciation,18593000000.0,17852000000.0,17634000000.0,28516000000.0,
Operating Gains Losses,-517000000.0,-4855000000.0,-8369000000.0,19353000000.0,
Pension And Employee Benefit Expense,-958000000.0,-5236000000.0,-8000000000.0,1177000000.0,
Earnings Losses From Equity Investments,,,184000000.0,38000000.0,295000000.0
Gain Loss On Investment Securities,441000000.0,381000000.0,-369000000.0,-742000000.0,
Net Income From Continuing Operations,15623000000.0,-6874000000.0,23776000000.0,-3821000000.0,
