,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,1349000000.0,5923000000.0,6294000000.0,5490000000.0,
Repurchase Of Capital Stock,-293000000.0,-3615000000.0,-527000000.0,-2553000000.0,
Repayment Of Debt,-500000000.0,-500000000.0,-550000000.0,-500000000.0,
Issuance Of Debt,3000000000.0,1494000000.0,1495000000.0,1498000000.0,
Issuance Of Capital Stock,263000000.0,241000000.0,377000000.0,470000000.0,
Capital Expenditure,-5071000000.0,-2797000000.0,-2462000000.0,-649000000.0,
End Cash Position,2964000000.0,3050000000.0,4631000000.0,3107000000.0,
Beginning Cash Position,3050000000.0,4631000000.0,3107000000.0,2437000000.0,
Changes In Cash,-86000000.0,-1581000000.0,1524000000.0,670000000.0,
Financing Cash Flow,-2144000000.0,-6718000000.0,-3137000000.0,-4547000000.0,
Cash Flow From Continuing Financing Activities,-2144000000.0,-6718000000.0,-3137000000.0,-4547000000.0,
Net Other Financing Charges,-57000000.0,-41000000.0,-46000000.0,-36000000.0,
Cash Dividends Paid,-4557000000.0,-4297000000.0,-3886000000.0,-3426000000.0,
Common Stock Dividend Paid,-4557000000.0,-4297000000.0,-3886000000.0,-3426000000.0,
Net Common Stock Issuance,-30000000.0,-3374000000.0,-150000000.0,-2083000000.0,
Common Stock Payments,-293000000.0,-3615000000.0,-527000000.0,-2553000000.0,
Common Stock Issuance,263000000.0,241000000.0,377000000.0,470000000.0,
Net Issuance Payments Of Debt,2500000000.0,994000000.0,945000000.0,998000000.0,
Net Short Term Debt Issuance,,,,-500000000.0,-750000000.0
Short Term Debt Payments,,,,-500000000.0,-750000000.0
Net Long Term Debt Issuance,2500000000.0,994000000.0,945000000.0,998000000.0,
Long Term Debt Payments,-500000000.0,-500000000.0,-550000000.0,-500000000.0,
Long Term Debt Issuance,3000000000.0,1494000000.0,1495000000.0,1498000000.0,
Investing Cash Flow,-4362000000.0,-3583000000.0,-4095000000.0,-922000000.0,
Cash Flow From Continuing Investing Activities,-4362000000.0,-3583000000.0,-4095000000.0,-922000000.0,
Net Other Investing Changes,27000000.0,40000000.0,13000000.0,-32000000.0,
Net Investment Purchase And Sale,682000000.0,-826000000.0,-1646000000.0,-241000000.0,
Sale Of Investment,13387000000.0,13657000000.0,8478000000.0,5545000000.0,
Purchase Of Investment,-12705000000.0,-14483000000.0,-10124000000.0,-5786000000.0,
Capital Expenditure Reported,-5071000000.0,-2797000000.0,-2462000000.0,-649000000.0,
Operating Cash Flow,6420000000.0,8720000000.0,8756000000.0,6139000000.0,
Cash Flow From Continuing Operating Activities,6420000000.0,8720000000.0,8756000000.0,6139000000.0,
Change In Working Capital,-1099000000.0,-813000000.0,-165000000.0,-428000000.0,
Change In Other Working Capital,29000000.0,22000000.0,7000000.0,63000000.0,
Change In Payables And Accrued Expense,-11000000.0,222000000.0,20000000.0,-55000000.0,
Change In Accrued Expense,29000000.0,22000000.0,7000000.0,63000000.0,
Change In Payable,-40000000.0,200000000.0,13000000.0,-118000000.0,
Change In Account Payable,-33000000.0,106000000.0,33000000.0,63000000.0,
Change In Tax Payable,-7000000.0,94000000.0,-20000000.0,-181000000.0,
Change In Income Tax Payable,-7000000.0,94000000.0,-20000000.0,-181000000.0,
Change In Prepaid Assets,46000000.0,6000000.0,57000000.0,-79000000.0,
Change In Inventory,-1242000000.0,-847000000.0,45000000.0,46000000.0,
Change In Receivables,108000000.0,-194000000.0,-287000000.0,-340000000.0,
Changes In Account Receivables,108000000.0,-194000000.0,-287000000.0,-340000000.0,
Other Non Cash Items,-292000000.0,-290000000.0,10000000.0,-103000000.0,
Stock Based Compensation,362000000.0,289000000.0,230000000.0,224000000.0,
Deferred Tax,-299000000.0,-191000000.0,15000000.0,-137000000.0,
Deferred Income Tax,-299000000.0,-191000000.0,15000000.0,-137000000.0,
Depreciation Amortization Depletion,1238000000.0,979000000.0,954000000.0,992000000.0,
Depreciation And Amortization,1238000000.0,979000000.0,954000000.0,992000000.0,
Amortization Cash Flow,63000000.0,54000000.0,199000000.0,259000000.0,
Amortization Of Intangibles,63000000.0,54000000.0,199000000.0,259000000.0,
Depreciation,1175000000.0,925000000.0,755000000.0,733000000.0,
Operating Gains Losses,,-3000000.0,-57000000.0,-4000000.0,-23000000.0
Net Income From Continuing Operations,6510000000.0,8749000000.0,7769000000.0,5595000000.0,
