,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,520317000.0,584058000.0,497436000.0,430203000.0,
Repurchase Of Capital Stock,-25560000.0,-49028000.0,0.0,-19795000.0,
Repayment Of Debt,-24669000.0,-2672000.0,-301096000.0,-725839000.0,
Issuance Of Debt,0.0,0.0,513074000.0,1131790000.0,
Issuance Of Capital Stock,,629552000.0,899053000.0,102234000.0,725315000.0
Capital Expenditure,-312347000.0,-236013000.0,-166524000.0,-174113000.0,
Interest Paid Supplemental Data,184201000.0,154911000.0,136978000.0,159386000.0,
Income Tax Paid Supplemental Data,1911000.0,1145000.0,4778000.0,1029000.0,
End Cash Position,34866000.0,30194000.0,28418000.0,24171000.0,
Beginning Cash Position,30194000.0,28418000.0,24171000.0,33291000.0,
Changes In Cash,4672000.0,1776000.0,4247000.0,-9120000.0,
Financing Cash Flow,-538854000.0,111233000.0,612540000.0,-152594000.0,
Cash Flow From Continuing Financing Activities,-538854000.0,111233000.0,612540000.0,-152594000.0,
Net Other Financing Charges,-52078000.0,-58614000.0,-90486000.0,-107417000.0,
Cash Dividends Paid,-544622000.0,-488005000.0,-438005000.0,-423567000.0,
Preferred Stock Dividend Paid,-4770000.0,-4381000.0,-4225000.0,-4217000.0,
Common Stock Dividend Paid,-539852000.0,-483624000.0,-433780000.0,-419350000.0,
Net Common Stock Issuance,-25560000.0,580524000.0,899053000.0,82439000.0,
Common Stock Payments,-25560000.0,-49028000.0,0.0,-19795000.0,
Common Stock Issuance,,629552000.0,899053000.0,102234000.0,725315000.0
Net Issuance Payments Of Debt,83406000.0,77328000.0,241978000.0,295951000.0,
Net Short Term Debt Issuance,108075000.0,80000000.0,30000000.0,-110000000.0,
Short Term Debt Issuance,,,,,198885000.0
Net Long Term Debt Issuance,-24669000.0,-2672000.0,211978000.0,405951000.0,
Long Term Debt Payments,-24669000.0,-2672000.0,-301096000.0,-725839000.0,
Long Term Debt Issuance,0.0,0.0,513074000.0,1131790000.0,
Investing Cash Flow,-289138000.0,-929528000.0,-1272253000.0,-460842000.0,
Cash Flow From Continuing Investing Activities,-289138000.0,-929528000.0,-1272253000.0,-460842000.0,
Net Other Investing Changes,-85310000.0,-75183000.0,111690000.0,-7285000.0,
Dividends Received Cfi,14399000.0,81443000.0,37362000.0,49342000.0,
Net Investment Purchase And Sale,14471000.0,0.0,0.0,,
Sale Of Investment,14471000.0,0.0,0.0,,
Net Investment Properties Purchase And Sale,152044000.0,-498363000.0,-1142460000.0,-251183000.0,
Sale Of Investment Properties,325767000.0,40808000.0,280077000.0,277886000.0,
Purchase Of Investment Properties,-173723000.0,-539171000.0,-1422537000.0,-529069000.0,
Net Business Purchase And Sale,-72395000.0,-201412000.0,-112321000.0,-77603000.0,
Purchase Of Business,-72395000.0,-201412000.0,-112321000.0,-77603000.0,
Capital Expenditure Reported,-312347000.0,-236013000.0,-166524000.0,-174113000.0,
Operating Cash Flow,832664000.0,820071000.0,663960000.0,604316000.0,
Cash Flow From Continuing Operating Activities,832664000.0,820071000.0,663960000.0,604316000.0,
Dividend Received Cfo,,,,,5179000.0
Change In Working Capital,-36407000.0,-3348000.0,-22007000.0,-46825000.0,
Change In Other Working Capital,,,,,-3110000.0
Change In Other Current Liabilities,-2828000.0,-13140000.0,11447000.0,-2155000.0,
Change In Other Current Assets,-33579000.0,9792000.0,-33454000.0,-44670000.0,
Other Non Cash Items,9791000.0,31835000.0,19182000.0,12193000.0,
Stock Based Compensation,32896000.0,27505000.0,22052000.0,19616000.0,
Depreciation Amortization Depletion,691838000.0,679572000.0,619833000.0,618629000.0,
Depreciation And Amortization,691838000.0,679572000.0,619833000.0,618629000.0,
Operating Gains Losses,-339942000.0,-8072000.0,-136093000.0,-68267000.0,
Earnings Losses From Equity Investments,11251000.0,17422000.0,-42377000.0,1820000.0,
Gain Loss On Investment Securities,-351193000.0,-25494000.0,-136052000.0,-119277000.0,
Net Income From Continuing Operations,474488000.0,92579000.0,160993000.0,68970000.0,
