,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,12912000000.0,10401000000.0,-28343000000.0,19680000000.0,
Repayment Of Debt,-10624000000.0,-13564000000.0,-18863000000.0,-17188000000.0,
Issuance Of Debt,8612000000.0,17806000000.0,41417000000.0,31457000000.0,
Capital Expenditure,-24563000000.0,-26740000000.0,-67882000000.0,-22088000000.0,
End Cash Position,3497000000.0,4111000000.0,4161000000.0,23498000000.0,
Beginning Cash Position,4111000000.0,4161000000.0,23498000000.0,3917000000.0,
Changes In Cash,-614000000.0,-50000000.0,-19337000000.0,19581000000.0,
Financing Cash Flow,-14657000000.0,-8529000000.0,8277000000.0,1325000000.0,
Cash Flow From Continuing Financing Activities,-14657000000.0,-8529000000.0,8277000000.0,1325000000.0,
Net Other Financing Charges,-1470000000.0,-2072000000.0,-3832000000.0,-2712000000.0,
Cash Dividends Paid,-11025000000.0,-10805000000.0,-10445000000.0,-10232000000.0,
Common Stock Dividend Paid,-11025000000.0,-10805000000.0,-10445000000.0,-10232000000.0,
Net Issuance Payments Of Debt,-2162000000.0,4348000000.0,22554000000.0,14269000000.0,
Net Short Term Debt Issuance,-150000000.0,106000000.0,0.0,,
Short Term Debt Issuance,,106000000.0,0.0,,
Net Long Term Debt Issuance,-2012000000.0,4242000000.0,22554000000.0,14269000000.0,
Long Term Debt Payments,-10624000000.0,-13564000000.0,-18863000000.0,-17188000000.0,
Long Term Debt Issuance,8612000000.0,17806000000.0,41417000000.0,31457000000.0,
Investing Cash Flow,-23432000000.0,-28662000000.0,-67153000000.0,-23512000000.0,
Cash Flow From Continuing Investing Activities,-23432000000.0,-28662000000.0,-67153000000.0,-23512000000.0,
Net Other Investing Changes,281000000.0,62000000.0,693000000.0,-904000000.0,
Net Investment Purchase And Sale,880000000.0,-2265000000.0,-21000000.0,,
Purchase Of Investment,,-2265000000.0,-21000000.0,,
Net Business Purchase And Sale,-30000000.0,281000000.0,57000000.0,-520000000.0,
Sale Of Business,0.0,281000000.0,4122000000.0,0.0,
Purchase Of Business,-30000000.0,,-4065000000.0,-520000000.0,-29000000.0
Net Intangibles Purchase And Sale,-5796000000.0,-3653000000.0,-47596000000.0,-3896000000.0,
Purchase Of Intangibles,-5796000000.0,-3653000000.0,-47596000000.0,-3896000000.0,
Capital Expenditure Reported,-18767000000.0,-23087000000.0,-20286000000.0,-18192000000.0,
Operating Cash Flow,37475000000.0,37141000000.0,39539000000.0,41768000000.0,
Cash Flow From Continuing Operating Activities,37475000000.0,37141000000.0,39539000000.0,41768000000.0,
Change In Working Capital,-267000000.0,-456000000.0,-890000000.0,56000000.0,
Change In Payables And Accrued Expense,2079000000.0,-33000000.0,1457000000.0,-966000000.0,
Change In Payable,2079000000.0,-33000000.0,1457000000.0,-966000000.0,
Change In Account Payable,2079000000.0,-33000000.0,1457000000.0,-966000000.0,
Change In Prepaid Assets,-435000000.0,928000000.0,150000000.0,1202000000.0,
Change In Inventory,287000000.0,627000000.0,-905000000.0,-369000000.0,
Change In Receivables,-2198000000.0,-1978000000.0,-1592000000.0,189000000.0,
Changes In Account Receivables,-2198000000.0,-1978000000.0,-1592000000.0,189000000.0,
Other Non Cash Items,-3710000000.0,-3778000000.0,-93000000.0,2780000000.0,
Provisionand Write Offof Assets,2214000000.0,1611000000.0,789000000.0,1380000000.0,
Asset Impairment Charge,5841000000.0,0.0,0.0,0.0,
Deferred Tax,2388000000.0,2973000000.0,4264000000.0,1553000000.0,
Deferred Income Tax,2388000000.0,2973000000.0,4264000000.0,1553000000.0,
Depreciation Amortization Depletion,17624000000.0,17099000000.0,16206000000.0,16720000000.0,
Depreciation And Amortization,17624000000.0,17099000000.0,16206000000.0,16720000000.0,
Amortization Cash Flow,2687000000.0,2507000000.0,2087000000.0,,
Amortization Of Intangibles,2687000000.0,2507000000.0,2087000000.0,,
Depreciation,14937000000.0,14592000000.0,14119000000.0,,
Operating Gains Losses,1290000000.0,-2056000000.0,-3355000000.0,931000000.0,
Pension And Employee Benefit Expense,1206000000.0,-2046000000.0,-3391000000.0,840000000.0,
Earnings Losses From Equity Investments,84000000.0,-10000000.0,36000000.0,91000000.0,
Gain Loss On Sale Of Business,,,,,94000000.0
Net Income From Continuing Operations,12095000000.0,21748000000.0,22618000000.0,18348000000.0,
