,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,1318000000.0,1148000000.0,1476000000.0,1145000000.0,
Repurchase Of Capital Stock,-50000000.0,-1200000000.0,-1591000000.0,-239000000.0,
Repayment Of Debt,-397000000.0,-699000000.0,-3657000000.0,-1617000000.0,
Issuance Of Debt,0.0,999000000.0,4150000000.0,1745000000.0,
Capital Expenditure,-285000000.0,-279000000.0,-230000000.0,-160000000.0,
End Cash Position,724000000.0,647000000.0,771000000.0,1024000000.0,
Beginning Cash Position,647000000.0,771000000.0,1024000000.0,768000000.0,
Effect Of Exchange Rate Changes,10000000.0,-26000000.0,-19000000.0,24000000.0,
Changes In Cash,67000000.0,-98000000.0,-234000000.0,232000000.0,
Financing Cash Flow,-1429000000.0,-1323000000.0,-1767000000.0,-738000000.0,
Cash Flow From Continuing Financing Activities,-1429000000.0,-1323000000.0,-1767000000.0,-738000000.0,
Net Other Financing Charges,-25000000.0,-53000000.0,-77000000.0,-61000000.0,
Cash Dividends Paid,-678000000.0,-649000000.0,-592000000.0,-566000000.0,
Common Stock Dividend Paid,-678000000.0,-649000000.0,-592000000.0,-566000000.0,
Net Common Stock Issuance,-50000000.0,-1200000000.0,-1591000000.0,-239000000.0,
Common Stock Payments,-50000000.0,-1200000000.0,-1591000000.0,-239000000.0,
Net Issuance Payments Of Debt,-676000000.0,579000000.0,493000000.0,128000000.0,
Net Short Term Debt Issuance,-279000000.0,279000000.0,0.0,-5000000.0,
Short Term Debt Payments,,0.0,0.0,-100000000.0,-126000000.0
Short Term Debt Issuance,,279000000.0,0.0,95000000.0,130000000.0
Net Long Term Debt Issuance,-397000000.0,300000000.0,493000000.0,133000000.0,
Long Term Debt Payments,-397000000.0,-699000000.0,-3657000000.0,-1517000000.0,
Long Term Debt Issuance,0.0,999000000.0,4150000000.0,1650000000.0,
Investing Cash Flow,-107000000.0,-202000000.0,-173000000.0,-335000000.0,
Cash Flow From Continuing Investing Activities,-107000000.0,-202000000.0,-173000000.0,-335000000.0,
Net Other Investing Changes,57000000.0,77000000.0,57000000.0,8000000.0,
Net Investment Purchase And Sale,,0.0,0.0,206000000.0,0.0
Sale Of Investment,,0.0,0.0,206000000.0,0.0
Net Business Purchase And Sale,121000000.0,0.0,0.0,-389000000.0,
Sale Of Business,121000000.0,0.0,0.0,19000000.0,
Purchase Of Business,,0.0,0.0,-408000000.0,0.0
Capital Expenditure Reported,-285000000.0,-279000000.0,-230000000.0,-160000000.0,
Operating Cash Flow,1603000000.0,1427000000.0,1706000000.0,1305000000.0,
Cash Flow From Continuing Operating Activities,1603000000.0,1427000000.0,1706000000.0,1305000000.0,
Change In Working Capital,-91000000.0,-105000000.0,2000000.0,88000000.0,
Change In Payables And Accrued Expense,13000000.0,-22000000.0,81000000.0,18000000.0,
Change In Payable,13000000.0,-22000000.0,81000000.0,18000000.0,
Change In Account Payable,-30000000.0,-39000000.0,122000000.0,128000000.0,
Change In Tax Payable,43000000.0,17000000.0,-41000000.0,-110000000.0,
Change In Income Tax Payable,43000000.0,17000000.0,-41000000.0,-110000000.0,
Change In Prepaid Assets,-15000000.0,1000000.0,-33000000.0,8000000.0,
Change In Receivables,-89000000.0,-84000000.0,-46000000.0,62000000.0,
Other Non Cash Items,162000000.0,60000000.0,192000000.0,71000000.0,
Stock Based Compensation,95000000.0,84000000.0,75000000.0,97000000.0,
Asset Impairment Charge,13000000.0,10000000.0,19000000.0,172000000.0,
Deferred Tax,-290000000.0,-55000000.0,-200000000.0,-65000000.0,
Deferred Income Tax,-290000000.0,-55000000.0,-200000000.0,-65000000.0,
Depreciation Amortization Depletion,153000000.0,146000000.0,164000000.0,146000000.0,
Depreciation And Amortization,153000000.0,146000000.0,164000000.0,146000000.0,
Operating Gains Losses,-36000000.0,-38000000.0,-121000000.0,-108000000.0,
Pension And Employee Benefit Expense,,,,,-15000000.0
Gain Loss On Investment Securities,,,-86000000.0,-74000000.0,67000000.0
Gain Loss On Sale Of Business,-29000000.0,-27000000.0,-35000000.0,-34000000.0,
Net Income From Continuing Operations,1597000000.0,1325000000.0,1575000000.0,904000000.0,
