Date,GRADE,GPS,AMD,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,17.0625,,,,,,
1983-11-22,,,16.5,,,,,,
1983-11-23,,,16.3125,,,,,,
1983-11-24,,,16.3125,,,,,,
1983-11-25,,,16.6875,16.575,,,,,
1983-11-28,,,16.6875,16.5,,,,,
1983-11-29,,,17.6875,16.7375,,,,,
1983-11-30,,,17.0,16.875,,,,,
1983-12-01,,,16.8125,16.975,,,,,
1983-12-02,,,16.875,17.0125,16.79375,,,,
1983-12-05,,,16.6875,17.0125,16.75625,,,,
1983-12-06,,,16.8125,16.8375,16.7875,,,,
1983-12-07,,,17.1875,16.875,16.875,,,,
1983-12-08,,,16.5625,16.825,16.9,,,,
1983-12-09,,,16.375,16.725,16.86875,,,,
1983-12-12,,,16.625,16.7125,16.8625,,,,
1983-12-13,,,16.5,16.65,16.74375,,,,
1983-12-14,,,16.125,16.4375,16.65625,,,,
1983-12-15,,,16.1875,16.3625,16.59375,,,,
1983-12-16,,,16.0,16.2875,16.50625,16.65,,,
1983-12-19,,,16.0625,16.175,16.44375,16.6,,,
1983-12-20,,,16.3125,16.1375,16.39375,16.590625,,,
1983-12-21,,,15.9375,16.1,16.26875,16.571875,,,
1983-12-22,,,16.125,16.0875,16.225,16.5625,,,
1983-12-23,,,16.1875,16.125,16.20625,16.5375,,,
1983-12-26,,,16.1875,16.15,16.1625,16.5125,,,
1983-12-27,,,16.5625,16.2,16.16875,16.45625,,,
1983-12-28,,,16.375,16.2875,16.19375,16.425,,,
1983-12-29,,,16.8125,16.425,16.25625,16.425,,,
1983-12-30,,,16.8125,16.55,16.3375,16.421875,,,
1984-01-02,,,16.8125,16.675,16.4125,16.428125,,,
1984-01-03,,,16.875,16.7375,16.46875,16.43125,,,
1984-01-04,,,17.5625,16.975,16.63125,16.45,,,
1984-01-05,,,17.75,17.1625,16.79375,16.509375,,,
1984-01-06,,,18.0,17.4,16.975,16.590625,,,
1984-01-09,,,18.375,17.7125,17.19375,16.678125,,,
1984-01-10,,,17.9375,17.925,17.33125,16.75,,,
1984-01-11,,,17.8125,17.975,17.475,16.834375,,,
1984-01-12,,,18.375,18.1,17.63125,16.94375,,,
1984-01-13,,,18.0,18.1,17.75,17.04375,,,
1984-01-16,,,18.0,18.025,17.86875,17.140625,,,
1984-01-17,,,18.375,18.1125,18.01875,17.24375,,,
1984-01-18,,,17.875,18.125,18.05,17.340625,,,
1984-01-19,,,18.125,18.075,18.0875,17.440625,,,
1984-01-20,,,17.625,18.0,18.05,17.5125,,,
1984-01-23,,,17.1875,17.8375,17.93125,17.5625,,,
1984-01-24,,,17.3125,17.625,17.86875,17.6,,,
1984-01-25,,,16.625,17.375,17.75,17.6125,,,
1984-01-26,,,15.625,16.875,17.475,17.553125,,,
1984-01-27,,,15.0625,16.3625,17.18125,17.465625,16.91375,,
1984-01-30,,,14.5,15.825,16.83125,17.35,16.8625,,
