Date,GRADE,GPS,BSX,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1992-05-19,,,4.28125,,,,,,
1992-05-20,,,4.375,,,,,,
1992-05-21,,,4.375,,,,,,
1992-05-22,,,4.53125,,,,,,
1992-05-25,,,4.53125,4.41875,,,,,
1992-05-26,,,4.375,4.4375,,,,,
1992-05-27,,,4.4375,4.45,,,,,
1992-05-28,,,4.46875,4.46875,,,,,
1992-05-29,,,4.5625,4.475,,,,,
1992-06-01,,,4.625,4.49375,4.45625,,,,
1992-06-02,,,4.65625,4.55,4.49375,,,,
1992-06-03,,,4.5,4.5625,4.50625,,,,
1992-06-04,,,4.375,4.54375,4.50625,,,,
1992-06-05,,,4.3125,4.49375,4.484375,,,,
1992-06-08,,,4.3125,4.43125,4.4625,,,,
1992-06-09,,,4.125,4.325,4.4375,,,,
1992-06-10,,,4.125,4.25,4.40625,,,,
1992-06-11,,,4.09375,4.19375,4.36875,,,,
1992-06-12,,,4.1875,4.16875,4.33125,,,,
1992-06-15,,,4.15625,4.1375,4.284375,4.3703125,,,
1992-06-16,,,4.125,4.1375,4.23125,4.3625,,,
1992-06-17,,,3.9375,4.1,4.175,4.340625,,,
1992-06-18,,,3.9375,4.06875,4.13125,4.31875,,,
1992-06-19,,,3.9375,4.01875,4.09375,4.2890625,,,
1992-06-22,,,3.59375,3.90625,4.021875,4.2421875,,,
1992-06-23,,,3.96875,3.875,4.00625,4.221875,,,
1992-06-24,,,3.9375,3.875,3.9875,4.196875,,,
1992-06-25,,,3.875,3.8625,3.965625,4.1671875,,,
1992-06-26,,,3.875,3.85,3.934375,4.1328125,,,
1992-06-29,,,4.21875,3.975,3.940625,4.1125,,,
1992-06-30,,,4.28125,4.0375,3.95625,4.09375,,,
1992-07-01,,,4.21875,4.09375,3.984375,4.0796875,,,
1992-07-02,,,4.4375,4.20625,4.034375,4.0828125,,,
1992-07-03,,,4.4375,4.31875,4.084375,4.0890625,,,
1992-07-06,,,4.59375,4.39375,4.184375,4.103125,,,
1992-07-07,,,4.59375,4.45625,4.246875,4.1265625,,,
1992-07-08,,,4.46875,4.50625,4.3,4.14375,,,
1992-07-09,,,4.53125,4.525,4.365625,4.165625,,,
1992-07-10,,,4.46875,4.53125,4.425,4.1796875,,,
1992-07-13,,,4.53125,4.51875,4.45625,4.1984375,,,
1992-07-14,,,4.65625,4.53125,4.49375,4.225,,,
1992-07-15,,,4.5625,4.55,4.528125,4.25625,,,
1992-07-16,,,4.75,4.59375,4.559375,4.296875,,,
1992-07-17,,,4.65625,4.63125,4.58125,4.3328125,,,
1992-07-20,,,4.5,4.625,4.571875,4.378125,,,
1992-07-21,,,4.75,4.64375,4.5875,4.4171875,,,
1992-07-22,,,4.84375,4.7,4.625,4.4625,,,
1992-07-23,,,4.8125,4.7125,4.653125,4.509375,,,
1992-07-24,,,4.71875,4.725,4.678125,4.5515625,,,
1992-07-27,,,4.625,4.75,4.6875,4.571875,4.365,,
1992-07-28,,,4.84375,4.76875,4.70625,4.6,4.37625,,
1992-07-29,,,5.0,4.8,4.75,4.6390625,4.38875,,
1992-07-30,,,5.0,4.8375,4.775,4.6671875,4.40125,,
1992-07-31,,,5.0,4.89375,4.809375,4.6953125,4.410625,,
1992-08-03,,,4.96875,4.9625,4.85625,4.7140625,4.419375,,
1992-08-04,,,4.96875,4.9875,4.878125,4.7328125,4.43125,,
1992-08-05,,,4.9375,4.975,4.8875,4.75625,4.44125,,
1992-08-06,,,5.0,4.975,4.90625,4.7796875,4.451875,,
1992-08-07,,,4.90625,4.95625,4.925,4.8015625,4.45875,,
1992-08-10,,,4.84375,4.93125,4.946875,4.8171875,4.463125,,
1992-08-11,,,4.625,4.8625,4.925,4.815625,4.4625,,
1992-08-12,,,4.5625,4.7875,4.88125,4.815625,4.46375,,
1992-08-13,,,4.5,4.6875,4.83125,4.803125,4.46625,,
1992-08-14,,,4.34375,4.575,4.765625,4.7875,4.466875,,
1992-08-17,,,4.4375,4.49375,4.7125,4.784375,4.469375,,
1992-08-18,,,4.40625,4.45,4.65625,4.7671875,4.475,,
1992-08-19,,,4.53125,4.44375,4.615625,4.7515625,4.483125,,
1992-08-20,,,4.5625,4.45625,4.571875,4.7390625,4.4925,,
1992-08-21,,,4.5625,4.5,4.5375,4.73125,4.5,,
1992-08-24,,,4.5,4.5125,4.503125,4.725,4.506875,,
1992-08-25,,,4.625,4.55625,4.503125,4.7140625,4.516875,,
1992-08-26,,,4.75,4.6,4.521875,4.7015625,4.533125,,
1992-08-27,,,4.8125,4.65,4.553125,4.6921875,4.550625,,
1992-08-28,,,4.84375,4.70625,4.603125,4.684375,4.56875,,
1992-08-31,,,4.84375,4.775,4.64375,4.678125,4.59375,,
1992-09-01,,,4.78125,4.80625,4.68125,4.66875,4.61,,
1992-09-02,,,4.78125,4.8125,4.70625,4.6609375,4.626875,,
1992-09-03,,,4.5,4.75,4.7,4.6359375,4.639375,,
1992-09-04,,,4.59375,4.7,4.703125,4.6203125,4.65375,,
1992-09-07,,,4.59375,4.65,4.7125,4.6078125,4.66125,,
1992-09-08,,,4.625,4.61875,4.7125,4.6078125,4.668125,,
1992-09-09,,,4.78125,4.61875,4.715625,4.61875,4.679375,,
1992-09-10,,,4.90625,4.7,4.725,4.6390625,4.68875,,
1992-09-11,,,4.96875,4.775,4.7375,4.6703125,4.699375,,
1992-09-14,,,4.9375,4.84375,4.746875,4.6953125,4.70625,,
1992-09-15,,,4.96875,4.9125,4.765625,4.7234375,4.71375,,
1992-09-16,,,4.9375,4.94375,4.78125,4.74375,4.723125,,
1992-09-17,,,5.09375,4.98125,4.840625,4.7703125,4.734375,,
1992-09-18,,,4.90625,4.96875,4.871875,4.7875,4.743125,,
1992-09-21,,,4.90625,4.9625,4.903125,4.8078125,4.750625,,
1992-09-22,,,4.78125,4.925,4.91875,4.815625,4.753125,,
1992-09-23,,,4.71875,4.88125,4.9125,4.8140625,4.75625,,
1992-09-24,,,4.71875,4.80625,4.89375,4.809375,4.755625,,
1992-09-25,,,4.59375,4.74375,4.85625,4.796875,4.754375,,
1992-09-28,,,4.4375,4.65,4.80625,4.7765625,4.753125,,
1992-09-29,,,4.46875,4.5875,4.75625,4.7609375,4.7475,,
1992-09-30,,,4.4375,4.53125,4.70625,4.74375,4.739375,,
1992-10-01,,,4.46875,4.48125,4.64375,4.7421875,4.7325,,
1992-10-02,,,4.1875,4.4,4.571875,4.721875,4.721875,,
1992-10-05,,,4.125,4.3375,4.49375,4.6984375,4.711875,4.5384375,
1992-10-06,,,4.21875,4.2875,4.4375,4.678125,4.699375,4.5378125,
1992-10-07,,,4.375,4.275,4.403125,4.6578125,4.686875,4.5378125,
1992-10-08,,,4.5625,4.29375,4.3875,4.640625,4.678125,4.5396875,
1992-10-09,,,4.4375,4.34375,4.371875,4.6140625,4.666875,4.53875,
1992-10-12,,,4.4375,4.40625,4.371875,4.5890625,4.65625,4.5378125,
1992-10-13,,,4.4375,4.45,4.36875,4.5625,4.645625,4.5384375,
1992-10-14,,,4.5,4.475,4.375,4.540625,4.636875,4.5390625,
1992-10-15,,,4.46875,4.45625,4.375,4.509375,4.62625,4.5390625,
1992-10-16,,,4.5,4.46875,4.40625,4.4890625,4.618125,4.5384375,
1992-10-19,,,4.5625,4.49375,4.45,4.471875,4.6125,4.5378125,
1992-10-20,,,4.65625,4.5375,4.49375,4.465625,4.613125,4.5378125,
1992-10-21,,,4.5625,4.55,4.5125,4.4578125,4.613125,4.5384375,
1992-10-22,,,4.59375,4.575,4.515625,4.4515625,4.615,4.540625,
1992-10-23,,,4.5625,4.5875,4.528125,4.45,4.619375,4.543125,
1992-10-26,,,4.65625,4.60625,4.55,4.4609375,4.62375,4.5465625,
1992-10-27,,,4.78125,4.63125,4.584375,4.4765625,4.63125,4.553125,
1992-10-28,,,4.96875,4.7125,4.63125,4.503125,4.64,4.5615625,
1992-10-29,,,5.125,4.81875,4.696875,4.5359375,4.65125,4.571875,
1992-10-30,,,5.1875,4.94375,4.765625,4.5859375,4.66375,4.581875,
1992-11-02,,,4.96875,5.00625,4.80625,4.628125,4.673125,4.59,
1992-11-03,,,4.90625,5.03125,4.83125,4.6625,4.67875,4.5978125,
1992-11-04,,,4.9375,5.025,4.86875,4.690625,4.6825,4.6078125,
1992-11-05,,,5.0,5.0,4.909375,4.7125,4.68625,4.6184375,
1992-11-06,,,4.9375,4.95,4.946875,4.7375,4.688125,4.6284375,
1992-11-09,,,4.84375,4.925,4.965625,4.7578125,4.688125,4.6409375,
1992-11-10,,,4.90625,4.925,4.978125,4.78125,4.690625,4.6503125,
