Date,GRADE,GPS,CRL,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2000-06-23,,,22.0,,,,,,
2000-06-26,,,21.875,,,,,,
2000-06-27,,,21.5625,,,,,,
2000-06-28,,,21.5625,,,,,,
2000-06-29,,,21.1875,21.6375,,,,,
2000-06-30,,,22.1875,21.675,,,,,
2000-07-03,,,22.1875,21.7375,,,,,
2000-07-04,,,22.1875,21.8625,,,,,
2000-07-05,,,22.4375,22.0375,,,,,
2000-07-06,,,23.75,22.55,22.09375,,,,
2000-07-07,,,23.625,22.8375,22.25625,,,,
2000-07-10,,,24.75,23.35,22.54375,,,,
2000-07-11,,,25.25,23.9625,22.9125,,,,
2000-07-12,,,24.875,24.45,23.24375,,,,
2000-07-13,,,26.25,24.95,23.75,,,,
2000-07-14,,,24.25,25.075,23.95625,,,,
2000-07-17,,,23.6875,24.8625,24.10625,,,,
2000-07-18,,,24.75,24.7625,24.3625,,,,
2000-07-19,,,24.875,24.7625,24.60625,,,,
2000-07-20,,,24.5625,24.425,24.6875,23.390625,,,
2000-07-21,,,24.1875,24.4125,24.74375,23.5,,,
2000-07-24,,,25.5,24.775,24.81875,23.68125,,,
2000-07-25,,,24.8125,24.7875,24.775,23.84375,,,
2000-07-26,,,27.25,25.2625,25.0125,24.128125,,,
2000-07-27,,,28.25,26.0,25.2125,24.48125,,,
2000-07-28,,,27.5625,26.675,25.54375,24.75,,,
2000-07-31,,,30.1875,27.6125,26.19375,25.15,,,
2000-08-01,,,28.5,28.35,26.56875,25.465625,,,
2000-08-02,,,28.1875,28.5375,26.9,25.753125,,,
2000-08-03,,,30.375,28.9625,27.48125,26.084375,,,
2000-08-04,,,29.875,29.425,28.05,26.396875,,,
2000-08-07,,,33.0,29.9875,28.8,26.809375,,,
2000-08-08,,,33.0625,30.9,29.625,27.2,,,
2000-08-09,,,31.6875,31.6,30.06875,27.540625,,,
2000-08-10,,,30.625,31.65,30.30625,27.759375,,,
2000-08-11,,,29.375,31.55,30.4875,28.015625,,,
2000-08-14,,,27.9375,30.5375,30.2625,28.228125,,,
2000-08-15,,,26.375,29.2,30.05,28.309375,,,
2000-08-16,,,25.8125,28.025,29.8125,28.35625,,,
2000-08-17,,,25.8125,27.0625,29.35625,28.41875,,,
2000-08-18,,,26.25,26.4375,28.99375,28.521875,,,
2000-08-21,,,25.5,25.95,28.24375,28.521875,,,
2000-08-22,,,26.375,25.95,27.575,28.6,,,
2000-08-23,,,27.9375,26.375,27.2,28.634375,,,
2000-08-24,,,28.0,26.8125,26.9375,28.621875,,,
2000-08-25,,,27.5625,27.075,26.75625,28.621875,,,
2000-08-28,,,27.9375,27.5625,26.75625,28.509375,,,
2000-08-29,,,27.875,27.8625,26.90625,28.478125,,,
2000-08-30,,,27.5,27.775,27.075,28.44375,,,
2000-08-31,,,27.4375,27.6625,27.2375,28.296875,26.17125,,
2000-09-01,,,27.6875,27.6875,27.38125,28.1875,26.285,,
2000-09-04,,,27.6875,27.6375,27.6,27.921875,26.40125,,
2000-09-05,,,27.4375,27.55,27.70625,27.640625,26.51875,,
2000-09-06,,,27.5,27.55,27.6625,27.43125,26.6375,,
2000-09-07,,,27.25,27.5125,27.5875,27.2625,26.75875,,
2000-09-08,,,26.625,27.3,27.49375,27.125,26.8475,,
2000-09-11,,,26.8125,27.125,27.38125,27.06875,26.94,,
2000-09-12,,,26.4375,26.925,27.2375,27.071875,27.025,,
2000-09-13,,,26.0,26.625,27.0875,27.08125,27.09625,,
2000-09-14,,,25.8125,26.3375,26.925,27.08125,27.1375,,
2000-09-15,,,24.875,25.9875,26.64375,27.0125,27.1625,,
2000-09-18,,,23.0,25.225,26.175,26.8875,27.1275,,
2000-09-19,,,21.5,24.2375,25.58125,26.64375,27.0525,,
2000-09-20,,,22.0625,23.45,25.0375,26.35,26.99625,,
2000-09-21,,,22.5,22.7875,24.5625,26.075,26.92125,,
2000-09-22,,,23.0,22.4125,24.2,25.846875,26.89625,,
2000-09-25,,,26.75,23.1625,24.19375,25.7875,26.9575,,
