Date,GRADE,GPS,INCY,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1993-11-04,,,1.875,,,,,,
1993-11-05,,,1.96875,,,,,,
1993-11-08,,,1.96875,,,,,,
1993-11-09,,,1.96875,,,,,,
1993-11-10,,,2.0,1.95625,,,,,
1993-11-11,,,2.03125,1.9875,,,,,
1993-11-12,,,2.09375,2.0125,,,,,
1993-11-15,,,2.3125,2.08125,,,,,
1993-11-16,,,2.4375,2.175,,,,,
1993-11-17,,,2.375,2.25,2.103125,,,,
1993-11-18,,,2.3125,2.30625,2.146875,,,,
1993-11-19,,,2.34375,2.35625,2.184375,,,,
1993-11-22,,,2.25,2.34375,2.2125,,,,
1993-11-23,,,2.40625,2.3375,2.25625,,,,
1993-11-24,,,2.34375,2.33125,2.290625,,,,
1993-11-25,,,2.34375,2.3375,2.321875,,,,
1993-11-26,,,2.375,2.34375,2.35,,,,
1993-11-29,,,2.25,2.34375,2.34375,,,,
1993-11-30,,,2.25,2.3125,2.325,,,,
1993-12-01,,,2.1875,2.28125,2.30625,2.2046875,,,
1993-12-02,,,2.59375,2.33125,2.334375,2.240625,,,
1993-12-03,,,2.5625,2.36875,2.35625,2.2703125,,,
1993-12-06,,,2.40625,2.4,2.371875,2.2921875,,,
1993-12-07,,,2.34375,2.41875,2.365625,2.3109375,,,
1993-12-08,,,2.375,2.45625,2.36875,2.3296875,,,
1993-12-09,,,2.34375,2.40625,2.36875,2.3453125,,,
1993-12-10,,,2.3125,2.35625,2.3625,2.35625,,,
1993-12-13,,,2.21875,2.31875,2.359375,2.3515625,,,
1993-12-14,,,2.1875,2.2875,2.353125,2.3390625,,,
1993-12-15,,,2.21875,2.25625,2.35625,2.33125,,,
1993-12-16,,,2.21875,2.23125,2.31875,2.3265625,,,
1993-12-17,,,2.15625,2.2,2.278125,2.3171875,,,
1993-12-20,,,2.21875,2.2,2.259375,2.315625,,,
1993-12-21,,,2.1875,2.2,2.24375,2.3046875,,,
1993-12-22,,,2.1875,2.19375,2.225,2.296875,,,
1993-12-23,,,2.28125,2.20625,2.21875,2.29375,,,
1993-12-24,,,2.28125,2.23125,2.215625,2.2890625,,,
1993-12-27,,,2.3125,2.25,2.225,2.2921875,,,
1993-12-28,,,2.28125,2.26875,2.234375,2.29375,,,
1993-12-29,,,2.25,2.28125,2.2375,2.296875,,,
1993-12-30,,,2.21875,2.26875,2.2375,2.278125,,,
1993-12-31,,,2.25,2.2625,2.246875,2.2625,,,
1994-01-03,,,2.1875,2.2375,2.24375,2.2515625,,,
1994-01-04,,,2.15625,2.2125,2.240625,2.2421875,,,
1994-01-05,,,2.21875,2.20625,2.24375,2.234375,,,
1994-01-06,,,2.21875,2.20625,2.2375,2.228125,,,
1994-01-07,,,2.1875,2.19375,2.228125,2.221875,,,
1994-01-10,,,2.15625,2.1875,2.2125,2.21875,,,
