Date,GRADE,GPS,ORLY,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1993-04-23,,,2.40625,,,,,,
1993-04-26,,,2.34375,,,,,,
1993-04-27,,,2.3125,,,,,,
1993-04-28,,,2.28125,,,,,,
1993-04-29,,,2.3125,2.33125,,,,,
1993-04-30,,,2.34375,2.31875,,,,,
1993-05-03,,,2.34375,2.31875,,,,,
1993-05-04,,,2.375,2.33125,,,,,
1993-05-05,,,2.4375,2.3625,,,,,
1993-05-06,,,2.453125,2.390625,2.3609375,,,,
1993-05-07,,,2.40625,2.403125,2.3609375,,,,
1993-05-10,,,2.4375,2.421875,2.3703125,,,,
1993-05-11,,,2.46875,2.440625,2.3859375,,,,
1993-05-12,,,2.53125,2.459375,2.4109375,,,,
1993-05-13,,,2.59375,2.4875,2.4390625,,,,
1993-05-14,,,2.734375,2.553125,2.478125,,,,
1993-05-17,,,2.6875,2.603125,2.5125,,,,
1993-05-18,,,2.65625,2.640625,2.540625,,,,
1993-05-19,,,2.609375,2.65625,2.5578125,,,,
1993-05-20,,,2.5625,2.65,2.56875,2.46484375,,,
1993-05-21,,,2.59375,2.621875,2.5875,2.47421875,,,
1993-05-24,,,2.5625,2.596875,2.6,2.48515625,,,
1993-05-25,,,2.59375,2.584375,2.6125,2.49921875,,,
1993-05-26,,,2.5625,2.575,2.615625,2.51328125,,,
1993-05-27,,,2.625,2.5875,2.61875,2.52890625,,,
1993-05-28,,,2.65625,2.6,2.6109375,2.54453125,,,
1993-05-31,,,2.65625,2.61875,2.6078125,2.56015625,,,
1993-06-01,,,2.65625,2.63125,2.6078125,2.57421875,,,
1993-06-02,,,2.78125,2.675,2.625,2.59140625,,,
1993-06-03,,,2.8125,2.7125,2.65,2.609375,,,
1993-06-04,,,2.75,2.73125,2.665625,2.6265625,,,
1993-06-07,,,2.8125,2.7625,2.690625,2.6453125,,,
1993-06-08,,,2.8125,2.79375,2.7125,2.6625,,,
1993-06-09,,,2.8125,2.8,2.7375,2.6765625,,,
1993-06-10,,,2.84375,2.80625,2.759375,2.6890625,,,
1993-06-11,,,2.875,2.83125,2.78125,2.69609375,,,
1993-06-14,,,2.84375,2.8375,2.8,2.70390625,,,
1993-06-15,,,2.8125,2.8375,2.815625,2.71171875,,,
1993-06-16,,,2.75,2.825,2.8125,2.71875,,,
1993-06-17,,,2.75,2.80625,2.80625,2.728125,,,
1993-06-18,,,2.875,2.80625,2.81875,2.7421875,,,
1993-06-21,,,2.890625,2.815625,2.8265625,2.75859375,,,
1993-06-22,,,2.9375,2.840625,2.8390625,2.77578125,,,
1993-06-23,,,2.9375,2.878125,2.8515625,2.79453125,,,
1993-06-24,,,2.9375,2.915625,2.8609375,2.81015625,,,
1993-06-25,,,2.9375,2.928125,2.8671875,2.82421875,,,
1993-06-28,,,2.96875,2.94375,2.8796875,2.83984375,,,
1993-06-29,,,3.03125,2.9625,2.9015625,2.85859375,,,
1993-06-30,,,3.0,2.975,2.9265625,2.86953125,,,
1993-07-01,,,2.90625,2.96875,2.9421875,2.87421875,2.665625,,
1993-07-02,,,2.9375,2.96875,2.9484375,2.88359375,2.67625,,
1993-07-05,,,2.9375,2.9625,2.953125,2.88984375,2.688125,,
1993-07-06,,,2.9375,2.94375,2.953125,2.89609375,2.700625,,
1993-07-07,,,2.9375,2.93125,2.953125,2.90234375,2.71375,,
1993-07-08,,,2.9375,2.9375,2.953125,2.90703125,2.72625,,
1993-07-09,,,3.0,2.95,2.959375,2.91328125,2.739375,,
1993-07-12,,,3.0,2.9625,2.9625,2.92109375,2.7525,,
1993-07-13,,,2.96875,2.96875,2.95625,2.92890625,2.764375,,
1993-07-14,,,3.0,2.98125,2.95625,2.94140625,2.775625,,
