Date,GRADE,GPS,TDY,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1999-11-23,,,8.4375,,,,,,
1999-11-24,,,10.5,,,,,,
1999-11-25,,,10.5,,,,,,
1999-11-26,,,10.5,,,,,,
1999-11-29,,,9.25,9.8375,,,,,
1999-11-30,,,8.8125,9.9125,,,,,
1999-12-01,,,9.625,9.7375,,,,,
1999-12-02,,,9.375,9.5125,,,,,
1999-12-03,,,9.4375,9.3,,,,,
1999-12-06,,,9.25,9.3,9.56875,,,,
1999-12-07,,,8.9375,9.325,9.61875,,,,
1999-12-08,,,9.0,9.2,9.46875,,,,
1999-12-09,,,8.375,9.0,9.25625,,,,
1999-12-10,,,8.0625,8.725,9.0125,,,,
1999-12-13,,,7.9375,8.4625,8.88125,,,,
1999-12-14,,,7.9375,8.2625,8.79375,,,,
1999-12-15,,,8.0625,8.075,8.6375,,,,
1999-12-16,,,8.3125,8.0625,8.53125,,,,
1999-12-17,,,8.375,8.125,8.425,,,,
1999-12-20,,,8.4375,8.225,8.34375,8.95625,,,
1999-12-21,,,8.375,8.3125,8.2875,8.953125,,,
1999-12-22,,,8.75,8.45,8.2625,8.865625,,,
1999-12-23,,,8.875,8.5625,8.3125,8.784375,,,
1999-12-24,,,8.875,8.6625,8.39375,8.703125,,,
1999-12-27,,,9.0,8.775,8.5,8.690625,,,
1999-12-28,,,9.1875,8.9375,8.625,8.709375,,,
1999-12-29,,,9.375,9.0625,8.75625,8.696875,,,
1999-12-30,,,9.25,9.1375,8.85,8.690625,,,
1999-12-31,,,9.4375,9.25,8.95625,8.690625,,,
2000-01-03,,,9.375,9.325,9.05,8.696875,,,
2000-01-04,,,9.125,9.3125,9.125,8.70625,,,
2000-01-05,,,9.5,9.3375,9.2,8.73125,,,
2000-01-06,,,9.25,9.3375,9.2375,8.775,,,
2000-01-07,,,9.5625,9.3625,9.30625,8.85,,,
2000-01-10,,,9.75,9.4375,9.38125,8.940625,,,
2000-01-11,,,9.375,9.4875,9.4,9.0125,,,
2000-01-12,,,9.375,9.4625,9.4,9.078125,,,
2000-01-13,,,9.25,9.4625,9.4,9.125,,,
2000-01-14,,,9.5625,9.4625,9.4125,9.184375,,,
2000-01-17,,,9.5625,9.425,9.43125,9.240625,,,
2000-01-18,,,9.625,9.475,9.48125,9.303125,,,
2000-01-19,,,9.6875,9.5375,9.5,9.35,,,
2000-01-20,,,9.4375,9.575,9.51875,9.378125,,,
2000-01-21,,,9.75,9.6125,9.5375,9.421875,,,
2000-01-24,,,9.625,9.625,9.525,9.453125,,,
2000-01-25,,,9.5625,9.6125,9.54375,9.471875,,,
2000-01-26,,,9.5625,9.5875,9.5625,9.48125,,,
2000-01-27,,,9.6875,9.6375,9.60625,9.503125,,,
2000-01-28,,,9.25,9.5375,9.575,9.49375,,,
2000-01-31,,,9.25,9.4625,9.54375,9.4875,9.1875,,
2000-02-01,,,9.25,9.4,9.50625,9.49375,9.20375,,
2000-02-02,,,9.1875,9.325,9.45625,9.478125,9.1775,,
2000-02-03,,,9.1875,9.225,9.43125,9.475,9.15125,,
2000-02-04,,,9.0,9.175,9.35625,9.446875,9.12125,,
2000-02-07,,,8.9375,9.1125,9.2875,9.40625,9.115,,
2000-02-08,,,9.0,9.0625,9.23125,9.3875,9.11875,,
2000-02-09,,,8.9375,9.0125,9.16875,9.365625,9.105,,
2000-02-10,,,8.75,8.925,9.075,9.340625,9.0925,,
2000-02-11,,,8.6875,8.8625,9.01875,9.296875,9.0775,,
2000-02-14,,,8.625,8.8,8.95625,9.25,9.065,,
2000-02-15,,,8.9375,8.7875,8.925,9.215625,9.065,,
2000-02-16,,,8.8125,8.7625,8.8875,9.171875,9.06125,,
2000-02-17,,,9.0,8.8125,8.86875,9.15,9.07375,,
2000-02-18,,,9.1875,8.9125,8.8875,9.121875,9.09625,,
2000-02-21,,,9.1875,9.025,8.9125,9.1,9.12125,,
2000-02-22,,,9.5,9.1375,8.9625,9.096875,9.1525,,
2000-02-23,,,9.0,9.175,8.96875,9.06875,9.17125,,
2000-02-24,,,8.875,9.15,8.98125,9.028125,9.1825,,
2000-02-25,,,8.8125,9.075,8.99375,9.00625,9.19125,,
2000-02-28,,,8.875,9.0125,9.01875,8.9875,9.2,,
2000-02-29,,,8.6875,8.85,8.99375,8.959375,9.20625,,
2000-03-01,,,8.5625,8.7625,8.96875,8.928125,9.2025,,
2000-03-02,,,8.5,8.6875,8.91875,8.89375,9.195,,
2000-03-03,,,8.875,8.7,8.8875,8.8875,9.195,,
2000-03-06,,,9.0,8.725,8.86875,8.890625,9.195,,
2000-03-07,,,8.625,8.7125,8.78125,8.871875,9.18375,,
2000-03-08,,,8.8125,8.7625,8.7625,8.865625,9.1725,,
2000-03-09,,,9.0,8.8625,8.775,8.878125,9.1675,,
2000-03-10,,,9.3125,8.95,8.825,8.909375,9.165,,
2000-03-13,,,10.1875,9.1875,8.95625,8.9875,9.18125,,
2000-03-14,,,10.8125,9.625,9.16875,9.08125,9.215,,
2000-03-15,,,10.625,9.9875,9.375,9.171875,9.2375,,
2000-03-16,,,10.9375,10.375,9.61875,9.26875,9.27125,,
2000-03-17,,,12.375,10.9875,9.96875,9.428125,9.3275,,
2000-03-20,,,13.0625,11.5625,10.375,9.621875,9.39375,,
2000-03-21,,,13.625,12.125,10.875,9.828125,9.47875,,
2000-03-22,,,13.5625,12.7125,11.35,10.05625,9.5625,,
2000-03-23,,,13.625,13.25,11.8125,10.29375,9.65,,
2000-03-24,,,15.6875,13.9125,12.45,10.6375,9.7725,,
2000-03-27,,,18.375,14.975,13.26875,11.1125,9.94875,,
2000-03-28,,,26.0,17.45,14.7875,11.978125,10.27625,,
2000-03-29,,,18.75,18.4875,15.6,12.4875,10.4575,,
2000-03-30,,,19.0,19.5625,16.40625,13.0125,10.64875,,
2000-03-31,,,18.5,20.125,17.01875,13.49375,10.82375,,
2000-04-03,,,15.8125,19.6125,17.29375,13.834375,10.9475,,
2000-04-04,,,14.875,17.3875,17.41875,14.146875,11.05375,,
2000-04-05,,,16.0,16.8375,17.6625,14.50625,11.1825,,
2000-04-06,,,15.8125,16.2,17.88125,14.846875,11.305,,
2000-04-07,,,15.9375,15.6875,17.90625,15.178125,11.43875,,
2000-04-10,,,15.875,15.7,17.65625,15.4625,11.57125,10.379375,
2000-04-11,,,15.625,15.85,16.61875,15.703125,11.69875,10.45125,
2000-04-12,,,15.5625,15.7625,16.3,15.95,11.82625,10.501875,
2000-04-13,,,16.1875,15.8375,16.01875,16.2125,11.96625,10.55875,
2000-04-14,,,13.875,15.425,15.55625,16.2875,12.06375,10.5925,
2000-04-17,,,14.625,15.175,15.4375,16.365625,12.1775,10.64625,
2000-04-18,,,16.5625,15.3625,15.60625,16.5125,12.32875,10.72375,
2000-04-19,,,17.125,15.675,15.71875,16.690625,12.4925,10.79875,
2000-04-20,,,17.0625,15.85,15.84375,16.8625,12.65875,10.875625,
2000-04-21,,,17.0625,16.4875,15.95625,16.93125,12.82625,10.951875,
2000-04-24,,,17.8125,17.125,16.15,16.903125,13.01,11.0375,
2000-04-25,,,19.1875,17.65,16.50625,16.5625,13.215,11.14,
2000-04-26,,,19.625,18.15,16.9125,16.60625,13.43125,11.24625,
2000-04-27,,,18.125,18.3625,17.10625,16.5625,13.61375,11.34375,
2000-04-28,,,17.5,18.45,17.46875,16.5125,13.78,11.438125,
2000-05-01,,,18.0625,18.5,17.8125,16.625,13.9575,11.539375,
2000-05-02,,,18.125,18.2875,17.96875,16.7875,14.13,11.64125,
2000-05-03,,,18.0,17.9625,18.05625,16.8875,14.31,11.740625,
2000-05-04,,,18.125,17.9625,18.1625,17.003125,14.495,11.83875,
2000-05-05,,,18.6875,18.2,18.325,17.140625,14.6925,11.941875,
2000-05-08,,,18.3125,18.25,18.375,17.2625,14.88125,12.040625,
2000-05-09,,,18.875,18.4,18.34375,17.425,15.085,12.145625,
2000-05-10,,,17.625,18.325,18.14375,17.528125,15.26625,12.234375,
2000-05-11,,,17.6875,18.2375,18.1,17.603125,15.45,12.3225,
2000-05-12,,,17.5,18.0,18.1,17.784375,15.6225,12.40875,
2000-05-15,,,16.375,17.6125,17.93125,17.871875,15.77,12.4825,
2000-05-16,,,16.0,17.0375,17.71875,17.84375,15.9175,12.550625,
2000-05-17,,,15.1875,16.55,17.4375,17.746875,16.045,12.60875,
2000-05-18,,,14.25,15.8625,17.05,17.60625,16.15,12.65875,
2000-05-19,,,13.875,15.1375,16.56875,17.446875,16.24125,12.703125,
2000-05-22,,,13.125,14.4875,16.05,17.2125,16.3,12.740625,
2000-05-23,,,13.0625,13.9,15.46875,16.90625,16.345,12.78,
2000-05-24,,,11.5,13.1625,14.85625,16.5,16.3625,12.8,
2000-05-25,,,12.875,12.8875,14.375,16.2375,16.40125,12.83625,
2000-05-26,,,12.6875,12.65,13.89375,15.996875,16.4075,12.8675,
2000-05-29,,,12.6875,12.5625,13.525,15.728125,16.4,12.896875,
2000-05-30,,,16.0,13.15,13.525,15.621875,16.4475,12.963125,
2000-05-31,,,15.8125,14.0125,13.5875,15.5125,16.4925,13.0275,
2000-06-01,,,14.875,14.4125,13.65,15.35,16.5175,13.08375,
2000-06-02,,,14.5,14.775,13.7125,15.140625,16.49375,13.133125,
2000-06-05,,,14.3125,15.1,13.83125,14.940625,16.4125,13.180625,
2000-06-06,,,13.4375,14.5875,13.86875,14.66875,16.16125,13.21875,
2000-06-07,,,14.4375,14.3125,14.1625,14.509375,16.075,13.26625,
2000-06-08,,,13.6875,14.075,14.24375,14.309375,15.96875,13.30875,
2000-06-09,,,13.5,13.875,14.325,14.109375,15.86875,13.34625,
2000-06-12,,,13.5,13.7125,14.40625,13.965625,15.8225,13.385,
2000-06-13,,,13.75,13.775,14.18125,13.853125,15.8,13.426875,
2000-06-14,,,13.3125,13.55,13.93125,13.759375,15.74625,13.464375,
2000-06-15,,,13.1875,13.45,13.7625,13.70625,15.69375,13.499375,
2000-06-16,,,13.5,13.45,13.6625,13.6875,15.645,13.541875,
2000-06-19,,,13.625,13.475,13.59375,13.7125,15.6,13.585625,
2000-06-20,,,13.5625,13.4375,13.60625,13.7375,15.55875,13.62875,
2000-06-21,,,13.875,13.55,13.55,13.85625,15.525,13.675625,
2000-06-22,,,16.0,14.1125,13.78125,14.0125,15.52125,13.74375,
2000-06-23,,,15.9375,14.6,14.025,14.175,15.5625,13.813125,
2000-06-26,,,16.875,15.25,14.3625,14.384375,15.6075,13.8925,
2000-06-27,,,17.625,16.0625,14.75,14.465625,15.62875,13.97875,
2000-06-28,,,18.75,17.0375,15.29375,14.6125,15.66125,14.076875,
2000-06-29,,,19.125,17.6625,15.8875,14.825,15.7025,14.180625,
2000-06-30,,,18.875,18.25,16.425,15.04375,15.73875,14.2825,
2000-07-03,,,18.6875,18.6125,16.93125,15.2625,15.75625,14.383125,
2000-07-04,,,18.6875,18.825,17.44375,15.525,15.74625,14.480625,
2000-07-05,,,17.5,18.575,17.80625,15.678125,15.70375,14.5675,
2000-07-06,,,16.8125,18.1125,17.8875,15.834375,15.6775,14.645625,
2000-07-07,,,17.0625,17.75,18.0,16.0125,15.66875,14.724375,
2000-07-10,,,17.125,17.4375,18.025,16.19375,15.65,14.80375,
2000-07-11,,,17.25,17.15,17.9875,16.36875,15.6325,14.88125,
2000-07-12,,,17.5,17.15,17.8625,16.578125,15.6225,14.96625,
2000-07-13,,,17.5625,17.3,17.70625,16.796875,15.61125,15.053125,
2000-07-14,,,17.375,17.3625,17.55625,16.990625,15.585,15.13875,
2000-07-17,,,17.3125,17.4,17.41875,17.175,15.565,15.223125,
2000-07-18,,,17.9375,17.5375,17.34375,17.39375,15.54625,15.315625,
2000-07-19,,,17.625,17.5625,17.35625,17.58125,15.54625,15.40625,
2000-07-20,,,18.9375,17.8375,17.56875,17.728125,15.57125,15.510625,
2000-07-21,,,18.9375,18.15,17.75625,17.878125,15.6,15.61125,
2000-07-24,,,18.9375,18.475,17.9375,17.98125,15.65125,15.710625,
2000-07-25,,,18.9375,18.675,18.10625,18.046875,15.71,15.81375,
2000-07-26,,,21.5625,19.4625,18.5125,18.1875,15.8375,15.94125,
2000-07-27,,,19.875,19.65,18.74375,18.225,15.95,16.05,
2000-07-28,,,20.0,19.8625,19.00625,18.28125,16.0725,16.156875,
2000-07-31,,,19.75,20.025,19.25,18.334375,16.205,16.2525,
2000-08-01,,,18.8125,20.0,19.3375,18.340625,16.32,16.3325,
2000-08-02,,,19.25,19.5375,19.5,18.428125,16.475,16.41875,
2000-08-03,,,18.25,19.2125,19.43125,18.5,16.5825,16.491875,
2000-08-04,,,15.25,18.2625,19.0625,18.409375,16.63375,16.520625,
2000-08-07,,,16.75,17.6625,18.84375,18.390625,16.715,16.5575,
2000-08-08,,,16.625,17.225,18.6125,18.359375,16.7275,16.5875,
2000-08-09,,,19.25,17.225,18.38125,18.446875,16.79625,16.644375,
2000-08-10,,,19.25,17.425,18.31875,18.53125,16.88375,16.700625,
2000-08-11,,,19.5,18.275,18.26875,18.6375,16.98375,16.73875,
2000-08-14,,,19.5625,18.8375,18.25,18.75,17.08875,16.750625,
2000-08-15,,,19.25,19.3625,18.29375,18.815625,17.205,16.683125,
2000-08-16,,,19.75,19.4625,18.34375,18.921875,17.31125,16.693125,
2000-08-17,,,20.4375,19.7,18.5625,18.996875,17.44625,16.7075,
2000-08-18,,,20.125,19.825,19.05,19.05625,17.57875,16.72375,
2000-08-21,,,19.9375,19.9,19.36875,19.10625,17.7075,16.765,
2000-08-22,,,19.75,20.0,19.68125,19.146875,17.8275,16.81375,
2000-08-23,,,19.5,19.95,19.70625,19.04375,17.95125,16.84875,
2000-08-24,,,20.1875,19.9,19.8,19.059375,18.09125,16.8925,
2000-08-25,,,19.625,19.8,19.8125,19.040625,18.21375,16.929375,
2000-08-28,,,19.0,19.6125,19.75625,19.003125,18.32125,16.960625,13.67
2000-08-29,,,20.0,19.6625,19.83125,19.0625,18.45,17.004375,13.7278125
2000-08-30,,,20.0625,19.775,19.8625,19.103125,18.57375,17.049375,13.775625
2000-08-31,,,20.125,19.7625,19.83125,19.196875,18.65625,17.08875,13.82375
2000-09-01,,,22.4375,20.325,20.0625,19.55625,18.78625,17.174375,13.8834375
