Date,GRADE,GPS,VRTX,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1991-07-24,,,4.5,,,,,,
1991-07-25,,,4.5625,,,,,,
1991-07-26,,,4.5,,,,,,
1991-07-29,,,4.625,,,,,,
1991-07-30,,,4.5,4.5375,,,,,
1991-07-31,,,4.5,4.5375,,,,,
1991-08-01,,,4.5,4.525,,,,,
1991-08-02,,,4.5625,4.5375,,,,,
1991-08-05,,,4.625,4.5375,,,,,
1991-08-06,,,4.625,4.5625,4.55,,,,
1991-08-07,,,4.5,4.5625,4.55,,,,
1991-08-08,,,4.5625,4.575,4.55,,,,
1991-08-09,,,4.5,4.5625,4.55,,,,
1991-08-12,,,4.5,4.5375,4.5375,,,,
1991-08-13,,,4.5,4.5125,4.5375,,,,
1991-08-14,,,4.625,4.5375,4.55,,,,
1991-08-15,,,4.5,4.525,4.55,,,,
1991-08-16,,,4.5,4.525,4.54375,,,,
1991-08-19,,,4.375,4.5,4.51875,,,,
1991-08-20,,,4.375,4.475,4.49375,4.521875,,,
1991-08-21,,,4.4375,4.4375,4.4875,4.51875,,,
1991-08-22,,,4.375,4.4125,4.46875,4.509375,,,
1991-08-23,,,4.3125,4.375,4.45,4.5,,,
1991-08-26,,,4.5625,4.4125,4.45625,4.496875,,,
1991-08-27,,,4.625,4.4625,4.46875,4.503125,,,
1991-08-28,,,4.6875,4.5125,4.475,4.5125,,,
1991-08-29,,,4.9375,4.625,4.51875,4.534375,,,
1991-08-30,,,5.1875,4.8,4.5875,4.565625,,,
1991-09-02,,,5.1875,4.925,4.66875,4.59375,,,
1991-09-03,,,5.125,5.025,4.74375,4.61875,,,
1991-09-04,,,5.0,5.0875,4.8,4.64375,,,
1991-09-05,,,5.0,5.1,4.8625,4.665625,,,
1991-09-06,,,5.0,5.0625,4.93125,4.690625,,,
1991-09-09,,,4.875,5.0,4.9625,4.709375,,,
1991-09-10,,,5.0625,4.9875,5.00625,4.7375,,,
1991-09-11,,,5.0,4.9875,5.0375,4.75625,,,
1991-09-12,,,5.1875,5.025,5.0625,4.790625,,,
1991-09-13,,,5.5625,5.1375,5.1,4.84375,,,
1991-09-16,,,5.5625,5.275,5.1375,4.903125,,,
1991-09-17,,,5.5,5.3625,5.175,4.959375,,,
1991-09-18,,,5.6875,5.5,5.24375,5.021875,,,
1991-09-19,,,6.1875,5.7,5.3625,5.1125,,,
1991-09-20,,,6.625,5.9125,5.525,5.228125,,,
1991-09-23,,,6.5625,6.1125,5.69375,5.328125,,,
1991-09-24,,,6.5625,6.325,5.84375,5.425,,,
1991-09-25,,,7.0,6.5875,6.04375,5.540625,,,
1991-09-26,,,7.625,6.875,6.2875,5.675,,,
1991-09-27,,,7.375,7.025,6.46875,5.784375,,,
1991-09-30,,,7.375,7.1875,6.65,5.89375,,,
1991-10-01,,,7.8125,7.4375,6.88125,6.028125,5.16875,,
1991-10-02,,,7.8125,7.6,7.09375,6.16875,5.235,,
1991-10-03,,,7.375,7.55,7.2125,6.2875,5.29125,,
1991-10-04,,,7.5,7.575,7.3,6.4125,5.35125,,
1991-10-07,,,6.625,7.425,7.30625,6.5,5.39125,,
1991-10-08,,,6.8125,7.225,7.33125,6.5875,5.4375,,
1991-10-09,,,6.875,7.0375,7.31875,6.68125,5.485,,
1991-10-10,,,6.875,6.9375,7.24375,6.765625,5.5325,,
1991-10-11,,,6.8125,6.8,7.1875,6.828125,5.5775,,
1991-10-14,,,6.875,6.85,7.1375,6.89375,5.6225,,
1991-10-15,,,7.25,6.9375,7.08125,6.98125,5.675,,
1991-10-16,,,7.8125,7.125,7.08125,7.0875,5.74125,,
1991-10-17,,,7.5,7.25,7.09375,7.153125,5.8,,
1991-10-18,,,7.625,7.4125,7.10625,7.203125,5.8625,,
1991-10-21,,,7.25,7.4875,7.16875,7.2375,5.9175,,
1991-10-22,,,6.75,7.3875,7.1625,7.246875,5.9625,,
1991-10-23,,,7.5,7.325,7.225,7.271875,6.02,,
1991-10-24,,,7.5625,7.3375,7.29375,7.26875,6.08125,,
1991-10-25,,,7.25,7.2625,7.3375,7.2625,6.13625,,
1991-10-28,,,7.25,7.2625,7.375,7.25625,6.19375,,
1991-10-29,,,7.25,7.3625,7.375,7.228125,6.25125,,
1991-10-30,,,7.4375,7.35,7.3375,7.209375,6.31125,,
1991-10-31,,,7.25,7.2875,7.3125,7.203125,6.36875,,
1991-11-01,,,7.5625,7.35,7.30625,7.20625,6.43375,,
1991-11-04,,,7.6875,7.4375,7.35,7.259375,6.49625,,
1991-11-05,,,7.6875,7.525,7.44375,7.303125,6.5575,,
1991-11-06,,,7.75,7.5875,7.46875,7.346875,6.61875,,
1991-11-07,,,7.625,7.6625,7.475,7.384375,6.6725,,
1991-11-08,,,7.75,7.7,7.525,7.43125,6.72375,,
1991-11-11,,,7.5625,7.675,7.55625,7.465625,6.77125,,
1991-11-12,,,7.25,7.5875,7.55625,7.465625,6.81375,,
