,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,96500.0,
Tax Rate For Calcs,0.219,0.209,0.198,0.193,
Normalized EBITDA,1303500000.0,831900000.0,1305300000.0,1224000000.0,
Total Unusual Items,,3800000.0,,500000.0,1600000.0
Total Unusual Items Excluding Goodwill,,3800000.0,,500000.0,1600000.0
Net Income From Continuing Operation Net Minority Interest,755600000.0,413900000.0,827500000.0,785900000.0,
Reconciled Depreciation,225200000.0,219000000.0,219100000.0,189700000.0,
Reconciled Cost Of Revenue,3279400000.0,3125600000.0,2926600000.0,2681600000.0,
EBITDA,1303500000.0,831900000.0,1305300000.0,1224500000.0,
EBIT,1078300000.0,612900000.0,1086200000.0,1034800000.0,
Net Interest Income,-110900000.0,-89600000.0,-54500000.0,-61000000.0,
Interest Expense,110900000.0,89600000.0,54500000.0,61000000.0,
Normalized Income,755600000.0,413900000.0,827500000.0,785496500.0,
Net Income From Continuing And Discontinued Operation,755600000.0,413900000.0,827500000.0,785900000.0,
Total Expenses,4810500000.0,4777800000.0,4111000000.0,3866100000.0,
Total Operating Income As Reported,1057400000.0,597800000.0,1079100000.0,1029700000.0,
Diluted Average Shares,247600000.0,246300000.0,249600000.0,252200000.0,
Basic Average Shares,244900000.0,242900000.0,244900000.0,246800000.0,
Diluted EPS,3.05,1.68,3.32,3.12,
Basic EPS,3.09,1.7,3.38,3.18,
Diluted NI Availto Com Stockholders,755600000.0,413900000.0,827500000.0,785900000.0,
Net Income Common Stockholders,755600000.0,413900000.0,827500000.0,785900000.0,
Net Income,755600000.0,413900000.0,827500000.0,785900000.0,
Net Income Including Noncontrolling Interests,755600000.0,413900000.0,827500000.0,785900000.0,
Net Income Continuous Operations,755600000.0,413900000.0,827500000.0,785900000.0,
Tax Provision,211800000.0,109400000.0,204200000.0,187900000.0,
Pretax Income,967400000.0,523300000.0,1031700000.0,973800000.0,
Other Income Expense,20900000.0,15100000.0,7100000.0,5100000.0,
Other Non Operating Income Expenses,12200000.0,2800000.0,-2300000.0,-2100000.0,
Earnings From Equity Interest,8700000.0,12300000.0,9400000.0,6700000.0,
Gain On Sale Of Security,,3800000.0,,500000.0,1600000.0
Net Non Operating Interest Income Expense,-110900000.0,-89600000.0,-54500000.0,-61000000.0,
Interest Expense Non Operating,110900000.0,89600000.0,54500000.0,61000000.0,
Operating Income,1057400000.0,597800000.0,1079100000.0,1029700000.0,
Operating Expense,1531100000.0,1652200000.0,1184400000.0,1184500000.0,
Selling General And Administration,1531100000.0,1652200000.0,1184400000.0,1184500000.0,
Selling And Marketing Expense,641300000.0,535200000.0,577700000.0,591200000.0,
General And Administrative Expense,889800000.0,1117000000.0,606700000.0,593300000.0,
Other Gand A,889800000.0,1117000000.0,606700000.0,593300000.0,
Gross Profit,2588500000.0,2250000000.0,2263500000.0,2214200000.0,
Cost Of Revenue,3279400000.0,3125600000.0,2926600000.0,2681600000.0,
Total Revenue,5867900000.0,5375600000.0,5190100000.0,4895800000.0,
Operating Revenue,5867900000.0,5375600000.0,5190100000.0,4895800000.0,
