,2023-10-31,2022-10-31,2021-10-31,2020-10-31
Tax Effect Of Unusual Items,55572010.139028,125121398.049743,59759536.963957,53779551.892866
Tax Rate For Calcs,0.220524,0.219897,0.2181,0.278651
Normalized EBITDA,17224000000.0,11515000000.0,10371000000.0,7055000000.0
Total Unusual Items,252000000.0,569000000.0,274000000.0,193000000.0
Total Unusual Items Excluding Goodwill,252000000.0,569000000.0,274000000.0,193000000.0
Net Income From Continuing Operation Net Minority Interest,10166000000.0,7131000000.0,5963000000.0,2751000000.0
Reconciled Depreciation,2004000000.0,1895000000.0,2050000000.0,2118000000.0
Reconciled Cost Of Revenue,36791000000.0,34484000000.0,28251000000.0,22830000000.0
EBITDA,17476000000.0,12084000000.0,10645000000.0,7248000000.0
EBIT,15472000000.0,10189000000.0,8595000000.0,5130000000.0
Net Interest Income,-2453000000.0,-1062000000.0,-993000000.0,-1247000000.0
Interest Expense,2453000000.0,1062000000.0,993000000.0,1247000000.0
Normalized Income,9969572010.139029,6687121398.049743,5748759536.963957,2611779551.892866
Net Income From Continuing And Discontinued Operation,10166000000.0,7131000000.0,5963000000.0,2751000000.0
Total Expenses,45657000000.0,42256000000.0,35370000000.0,30354000000.0
Diluted Average Shares,293600000.0,306300000.0,314000000.0,316600000.0
Basic Average Shares,292200000.0,304500000.0,311600000.0,313500000.0
Diluted EPS,34.63,23.28,18.99,8.69
Basic EPS,34.8,23.42,19.14,8.77
Diluted NI Availto Com Stockholders,10166000000.0,7131000000.0,5963000000.0,2751000000.0
Net Income Common Stockholders,10166000000.0,7131000000.0,5963000000.0,2751000000.0
Net Income,10166000000.0,7131000000.0,5963000000.0,2751000000.0
Minority Interests,11000000.0,1000000.0,-2000000.0,-2000000.0
Net Income Including Noncontrolling Interests,10155000000.0,7130000000.0,5965000000.0,2753000000.0
Net Income Continuous Operations,10155000000.0,7130000000.0,5965000000.0,2753000000.0
Earnings From Equity Interest Net Of Tax,7000000.0,10000000.0,21000000.0,-48000000.0
Tax Provision,2871000000.0,2007000000.0,1658000000.0,1082000000.0
Pretax Income,13019000000.0,9127000000.0,7602000000.0,3883000000.0
Other Income Expense,881000000.0,1163000000.0,932000000.0,762000000.0
Other Non Operating Income Expenses,629000000.0,594000000.0,658000000.0,569000000.0
Special Income Charges,345000000.0,361000000.0,292000000.0,171000000.0
Gain On Sale Of Ppe,33000000.0,72000000.0,65000000.0,
Other Special Charges,-312000000.0,-289000000.0,-227000000.0,-223000000.0
Impairment Of Capital Assets,,,,52000000.0
Gain On Sale Of Security,-93000000.0,208000000.0,-18000000.0,22000000.0
Net Non Operating Interest Income Expense,-2453000000.0,-1062000000.0,-993000000.0,-1247000000.0
Interest Expense Non Operating,2453000000.0,1062000000.0,993000000.0,1247000000.0
Operating Income,14591000000.0,9026000000.0,7663000000.0,4368000000.0
Operating Expense,7715000000.0,6704000000.0,6052000000.0,6489000000.0
Other Operating Expenses,67000000.0,53000000.0,47000000.0,85000000.0
Depreciation Amortization Depletion Income Statement,853000000.0,827000000.0,983000000.0,1083000000.0
Depreciation And Amortization In Income Statement,853000000.0,827000000.0,983000000.0,1083000000.0
Depreciation Income Statement,853000000.0,827000000.0,983000000.0,1083000000.0
Research And Development,2177000000.0,1912000000.0,1587000000.0,1644000000.0
Selling General And Administration,4618000000.0,3912000000.0,3435000000.0,3677000000.0
General And Administrative Expense,4618000000.0,3912000000.0,3435000000.0,3677000000.0
Other Gand A,4595000000.0,3863000000.0,3383000000.0,3477000000.0
Insurance And Claims,309000000.0,267000000.0,235000000.0,231000000.0
Salaries And Wages,-286000000.0,-218000000.0,-183000000.0,-31000000.0
Gross Profit,22306000000.0,15730000000.0,13715000000.0,10857000000.0
Cost Of Revenue,37942000000.0,35552000000.0,29318000000.0,23865000000.0
Total Revenue,60248000000.0,51282000000.0,43033000000.0,34722000000.0
Operating Revenue,60248000000.0,51282000000.0,43033000000.0,34722000000.0
