,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Tax Effect Of Unusual Items,-1075947000.0,-295200000.0,-6540000.0,-1548450000.0
Tax Rate For Calcs,0.289,0.328,0.01,0.27
Normalized EBITDA,15834000000.0,12897000000.0,9732000000.0,10828000000.0
Total Unusual Items,-3723000000.0,-900000000.0,-654000000.0,-5735000000.0
Total Unusual Items Excluding Goodwill,-3723000000.0,-900000000.0,-654000000.0,-5735000000.0
Net Income From Continuing Operation Net Minority Interest,2354000000.0,3193000000.0,2024000000.0,-2832000000.0
Reconciled Depreciation,5369000000.0,5163000000.0,5111000000.0,5345000000.0
Reconciled Cost Of Revenue,59201000000.0,54401000000.0,45131000000.0,43880000000.0
EBITDA,12111000000.0,11997000000.0,9078000000.0,5093000000.0
EBIT,6742000000.0,6834000000.0,3967000000.0,-252000000.0
Net Interest Income,-1209000000.0,-1397000000.0,-1406000000.0,-1491000000.0
Interest Expense,1973000000.0,1549000000.0,1406000000.0,1491000000.0
Interest Income,764000000.0,152000000.0,140000000.0,156000000.0
Normalized Income,5001053000.0,3797800000.0,2671460000.0,1354550000.0
Net Income From Continuing And Discontinued Operation,2354000000.0,3145000000.0,1995000000.0,-2864000000.0
Total Expenses,79906000000.0,75952000000.0,63759000000.0,61594000000.0
Diluted Average Shares,1830000000.0,1827000000.0,1828000000.0,1808000000.0
Basic Average Shares,1828000000.0,1822000000.0,1816000000.0,1808000000.0
Diluted EPS,1.29,1.72,1.09,-1.58
Basic EPS,1.29,1.73,1.1,-1.58
Diluted NI Availto Com Stockholders,2354000000.0,3145000000.0,1995000000.0,-2864000000.0
Net Income Common Stockholders,2354000000.0,3145000000.0,1995000000.0,-2864000000.0
Net Income,2354000000.0,3145000000.0,1995000000.0,-2864000000.0
Minority Interests,-1036000000.0,-360000000.0,-512000000.0,-390000000.0
Net Income Including Noncontrolling Interests,3390000000.0,3505000000.0,2507000000.0,-2474000000.0
Net Income Discontinuous Operations,0.0,-48000000.0,-29000000.0,-32000000.0
Net Income Continuous Operations,3390000000.0,3553000000.0,2536000000.0,-2442000000.0
Tax Provision,1379000000.0,1732000000.0,25000000.0,699000000.0
Pretax Income,4769000000.0,5285000000.0,2561000000.0,-1743000000.0
Other Income Expense,-3014000000.0,-88000000.0,308000000.0,-4046000000.0
Other Non Operating Income Expenses,-73000000.0,-4000000.0,201000000.0,1038000000.0
Special Income Charges,-3892000000.0,-237000000.0,-654000000.0,-5735000000.0
Gain On Sale Of Business,,0.0,312000000.0,0.0
Other Special Charges,,,,-973000000.0
Restructuring And Mergern Acquisition,3892000000.0,237000000.0,654000000.0,5735000000.0
Earnings From Equity Interest,782000000.0,816000000.0,761000000.0,651000000.0
Gain On Sale Of Security,169000000.0,-663000000.0,-111000000.0,1038000000.0
Net Non Operating Interest Income Expense,-1209000000.0,-1397000000.0,-1406000000.0,-1491000000.0
Interest Expense Non Operating,1973000000.0,1549000000.0,1406000000.0,1491000000.0
Interest Income Non Operating,764000000.0,152000000.0,140000000.0,156000000.0
Operating Income,8992000000.0,6770000000.0,3659000000.0,3794000000.0
Operating Expense,20705000000.0,21551000000.0,18628000000.0,17714000000.0
Depreciation Amortization Depletion Income Statement,5369000000.0,5163000000.0,5111000000.0,5345000000.0
Depreciation And Amortization In Income Statement,5369000000.0,5163000000.0,5111000000.0,5345000000.0
Selling General And Administration,15336000000.0,16388000000.0,13517000000.0,12369000000.0
Gross Profit,29697000000.0,28321000000.0,22287000000.0,21508000000.0
Cost Of Revenue,59201000000.0,54401000000.0,45131000000.0,43880000000.0
Total Revenue,88898000000.0,82722000000.0,67418000000.0,65388000000.0
Operating Revenue,88898000000.0,82722000000.0,67418000000.0,65388000000.0
