,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,108000.0,208000.0,-73170000.0,4216000.0,
Tax Rate For Calcs,0.108,0.026,0.27,0.034,
Normalized EBITDA,3962000000.0,3247000000.0,3016000000.0,3002000000.0,
Total Unusual Items,1000000.0,8000000.0,-271000000.0,124000000.0,
Total Unusual Items Excluding Goodwill,1000000.0,8000000.0,-271000000.0,124000000.0,
Net Income From Continuing Operation Net Minority Interest,1397000000.0,1083000000.0,790000000.0,1042000000.0,
Reconciled Depreciation,1606000000.0,1468000000.0,1459000000.0,1443000000.0,
Reconciled Cost Of Revenue,8418000000.0,15560000000.0,11546000000.0,7993000000.0,
EBITDA,3963000000.0,3255000000.0,2745000000.0,3126000000.0,
EBIT,2357000000.0,1787000000.0,1286000000.0,1683000000.0,
Net Interest Income,-734000000.0,-629000000.0,-608000000.0,-572000000.0,
Interest Expense,791000000.0,675000000.0,630000000.0,601000000.0,
Interest Income,57000000.0,46000000.0,22000000.0,29000000.0,
Normalized Income,1396108000.0,1075208000.0,987830000.0,922216000.0,
Net Income From Continuing And Discontinued Operation,1397000000.0,1083000000.0,907000000.0,1368000000.0,
Total Expenses,10453000000.0,17455000000.0,13426000000.0,9856000000.0,
Total Operating Income As Reported,2243000000.0,1748000000.0,1495000000.0,1555000000.0,
Diluted Average Shares,206000000.0,196000000.0,194000000.0,193000000.0,
Basic Average Shares,206000000.0,195000000.0,193000000.0,193000000.0,
Diluted EPS,6.76,5.52,4.67,7.08,
Basic EPS,6.77,5.53,4.68,7.09,
Diluted NI Availto Com Stockholders,1394000000.0,1080000000.0,905000000.0,1366000000.0,
Net Income Common Stockholders,1394000000.0,1080000000.0,905000000.0,1366000000.0,
Otherunder Preferred Stock Dividend,3000000.0,3000000.0,2000000.0,,
Net Income,1397000000.0,1083000000.0,907000000.0,1368000000.0,
Minority Interests,0.0,0.0,4000000.0,-3000000.0,
Net Income Including Noncontrolling Interests,1397000000.0,1083000000.0,903000000.0,1371000000.0,
Net Income Discontinuous Operations,0.0,0.0,117000000.0,326000000.0,
Net Income Continuous Operations,1397000000.0,1083000000.0,786000000.0,1045000000.0,
Tax Provision,169000000.0,29000000.0,-130000000.0,37000000.0,
Pretax Income,1566000000.0,1112000000.0,656000000.0,1082000000.0,
Other Income Expense,8000000.0,-32000000.0,-274000000.0,87000000.0,
Other Non Operating Income Expenses,4000000.0,-26000000.0,-41000000.0,-63000000.0,
Special Income Charges,-16000000.0,5000000.0,-426000000.0,-43000000.0,
Gain On Sale Of Ppe,-16000000.0,5000000.0,-33000000.0,-37000000.0,
Other Special Charges,,,393000000.0,6000000.0,-24000000.0
Write Off,,,,35000000.0,15000000.0
Earnings From Equity Interest,3000000.0,-14000000.0,38000000.0,26000000.0,
Gain On Sale Of Security,17000000.0,3000000.0,155000000.0,167000000.0,
Net Non Operating Interest Income Expense,-734000000.0,-629000000.0,-608000000.0,-572000000.0,
Interest Expense Non Operating,791000000.0,675000000.0,630000000.0,601000000.0,
Interest Income Non Operating,57000000.0,46000000.0,22000000.0,29000000.0,
Operating Income,2292000000.0,1773000000.0,1538000000.0,1567000000.0,
Operating Expense,2035000000.0,1895000000.0,1798000000.0,1712000000.0,
Other Operating Expenses,-42000000.0,-29000000.0,-27000000.0,-25000000.0,
Other Taxes,462000000.0,457000000.0,431000000.0,395000000.0,
Depreciation Amortization Depletion Income Statement,1606000000.0,1468000000.0,1377000000.0,1292000000.0,
Depreciation And Amortization In Income Statement,1606000000.0,1468000000.0,1377000000.0,1292000000.0,
Amortization,15000000.0,16000000.0,16000000.0,16000000.0,
Amortization Of Intangibles Income Statement,15000000.0,16000000.0,16000000.0,16000000.0,
Depreciation Income Statement,1591000000.0,1452000000.0,1361000000.0,1276000000.0,
Selling General And Administration,9000000.0,-1000000.0,17000000.0,50000000.0,
General And Administrative Expense,9000000.0,-1000000.0,17000000.0,50000000.0,
Salaries And Wages,9000000.0,-1000000.0,17000000.0,50000000.0,
Gross Profit,4327000000.0,3668000000.0,3336000000.0,3279000000.0,
Cost Of Revenue,8418000000.0,15560000000.0,11628000000.0,8144000000.0,
Total Revenue,12745000000.0,19228000000.0,14964000000.0,11423000000.0,
Operating Revenue,12745000000.0,19228000000.0,14964000000.0,11423000000.0,
