,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-147392000.0,0.0,0.0,0.0
Tax Rate For Calcs,0.224,0.212,0.215,0.230717
Normalized EBITDA,3725000000.0,3376000000.0,3247000000.0,3978000000.0
Total Unusual Items,-658000000.0,0.0,0.0,
Total Unusual Items Excluding Goodwill,-658000000.0,0.0,0.0,
Net Income From Continuing Operation Net Minority Interest,1764000000.0,1934000000.0,1814000000.0,2352000000.0
Reconciled Depreciation,753000000.0,754000000.0,766000000.0,796000000.0
Reconciled Cost Of Revenue,13399000000.0,13956000000.0,13452000000.0,12318000000.0
EBITDA,3067000000.0,3376000000.0,3247000000.0,3978000000.0
EBIT,2314000000.0,2622000000.0,2481000000.0,3182000000.0
Net Interest Income,-227000000.0,-268000000.0,-250000000.0,-244000000.0
Interest Expense,293000000.0,282000000.0,256000000.0,252000000.0
Interest Income,66000000.0,14000000.0,6000000.0,8000000.0
Normalized Income,2274608000.0,1934000000.0,1814000000.0,2352000000.0
Net Income From Continuing And Discontinued Operation,1764000000.0,1934000000.0,1814000000.0,2352000000.0
Total Expenses,17429000000.0,17494000000.0,16879000000.0,15896000000.0
Total Operating Income As Reported,2344000000.0,2681000000.0,2561000000.0,3244000000.0
Diluted Average Shares,338800000.0,338300000.0,338800000.0,342500000.0
Basic Average Shares,337931034.0,337521815.0,336800000.0,340869565.0
Diluted EPS,5.21,5.73,5.35,6.87
Basic EPS,5.22,5.73,5.38,6.9
Diluted NI Availto Com Stockholders,1764000000.0,1934000000.0,1814000000.0,2352000000.0
Net Income Common Stockholders,1764000000.0,1934000000.0,1814000000.0,2352000000.0
Net Income,1764000000.0,1934000000.0,1814000000.0,2352000000.0
Minority Interests,0.0,-27000000.0,-30000000.0,-44000000.0
Net Income Including Noncontrolling Interests,1764000000.0,1961000000.0,1844000000.0,2396000000.0
Net Income Continuous Operations,1764000000.0,1961000000.0,1844000000.0,2396000000.0
Earnings From Equity Interest Net Of Tax,196000000.0,116000000.0,98000000.0,142000000.0
Tax Provision,453000000.0,495000000.0,479000000.0,676000000.0
Pretax Income,2021000000.0,2340000000.0,2225000000.0,2930000000.0
Other Income Expense,-754000000.0,-73000000.0,-86000000.0,-70000000.0
Other Non Operating Income Expenses,-96000000.0,-73000000.0,-86000000.0,-70000000.0
Special Income Charges,-658000000.0,0.0,0.0,
Impairment Of Capital Assets,658000000.0,0.0,0.0,
Net Non Operating Interest Income Expense,-227000000.0,-268000000.0,-250000000.0,-244000000.0
Interest Expense Non Operating,293000000.0,282000000.0,256000000.0,252000000.0
Interest Income Non Operating,66000000.0,14000000.0,6000000.0,8000000.0
Operating Income,3002000000.0,2681000000.0,2561000000.0,3244000000.0
Operating Expense,4030000000.0,3538000000.0,3427000000.0,3578000000.0
Other Operating Expenses,69000000.0,-43000000.0,28000000.0,-54000000.0
Selling General And Administration,3961000000.0,3581000000.0,3399000000.0,3632000000.0
Gross Profit,7032000000.0,6219000000.0,5988000000.0,6822000000.0
Cost Of Revenue,13399000000.0,13956000000.0,13452000000.0,12318000000.0
Total Revenue,20431000000.0,20175000000.0,19440000000.0,19140000000.0
Operating Revenue,20431000000.0,20175000000.0,19440000000.0,19140000000.0
