,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-73211000.0,-83468000.0,80227000.0,-4872000.0,
Tax Rate For Calcs,0.179,0.154,0.157,0.174,
Normalized EBITDA,15422000000.0,13495000000.0,10953000000.0,8748000000.0,
Total Unusual Items,-409000000.0,-542000000.0,511000000.0,-28000000.0,
Total Unusual Items Excluding Goodwill,-409000000.0,-542000000.0,511000000.0,-28000000.0,
Net Income From Continuing Operation Net Minority Interest,11195000000.0,9930000000.0,8687000000.0,6411000000.0,
Reconciled Depreciation,799000000.0,750000000.0,726000000.0,580000000.0,
Reconciled Cost Of Revenue,6022000000.0,5263000000.0,4489000000.0,3787000000.0,
EBITDA,15013000000.0,12953000000.0,11464000000.0,8720000000.0,
EBIT,14214000000.0,12203000000.0,10738000000.0,8140000000.0,
Net Interest Income,-575000000.0,-471000000.0,-431000000.0,-380000000.0,
Interest Expense,575000000.0,471000000.0,431000000.0,380000000.0,
Normalized Income,11530789000.0,10388532000.0,8256227000.0,6434128000.0,
Net Income From Continuing And Discontinued Operation,11195000000.0,9930000000.0,8687000000.0,6411000000.0,
Total Expenses,10468000000.0,9515000000.0,8657000000.0,7138000000.0,
Total Operating Income As Reported,14008000000.0,12264000000.0,10082000000.0,8081000000.0,
Diluted Average Shares,946000000.0,971000000.0,992000000.0,1006000015.0,
Basic Average Shares,944000000.0,968000000.0,988000000.0,1002000015.0,
Diluted EPS,11.83,10.22,8.76,6.37,
Basic EPS,11.86,10.26,8.79,6.4,
Diluted NI Availto Com Stockholders,11195000000.0,9930000000.0,8687000000.0,6411000000.0,
Net Income Common Stockholders,11195000000.0,9930000000.0,8687000000.0,6411000000.0,
Net Income,11195000000.0,9930000000.0,8687000000.0,6411000000.0,
Net Income Including Noncontrolling Interests,11195000000.0,9930000000.0,8687000000.0,6411000000.0,
Net Income Continuous Operations,11195000000.0,9930000000.0,8687000000.0,6411000000.0,
Tax Provision,2444000000.0,1802000000.0,1620000000.0,1349000000.0,
Pretax Income,13639000000.0,11732000000.0,10307000000.0,7760000000.0,
Other Income Expense,-416000000.0,-519000000.0,511000000.0,-23000000.0,
Other Non Operating Income Expenses,-7000000.0,23000000.0,,5000000.0,27000000.0
Special Income Charges,-539000000.0,-356000000.0,-94000000.0,-73000000.0,
Other Special Charges,539000000.0,356000000.0,94000000.0,73000000.0,
Earnings From Equity Interest,,,,,167000000.0
Gain On Sale Of Security,130000000.0,-186000000.0,605000000.0,45000000.0,
Net Non Operating Interest Income Expense,-575000000.0,-471000000.0,-431000000.0,-380000000.0,
Interest Expense Non Operating,575000000.0,471000000.0,431000000.0,380000000.0,
Operating Income,14630000000.0,12722000000.0,10227000000.0,8163000000.0,
Operating Expense,4446000000.0,4252000000.0,4168000000.0,3351000000.0,
Depreciation Amortization Depletion Income Statement,799000000.0,750000000.0,726000000.0,580000000.0,
Depreciation And Amortization In Income Statement,799000000.0,750000000.0,726000000.0,580000000.0,
Selling General And Administration,3647000000.0,3502000000.0,3442000000.0,2771000000.0,
Selling And Marketing Expense,825000000.0,789000000.0,895000000.0,657000000.0,
General And Administrative Expense,2822000000.0,2713000000.0,2547000000.0,2114000000.0,
Other Gand A,2822000000.0,2713000000.0,2547000000.0,2114000000.0,
Salaries And Wages,,,,,3537000000.0
Gross Profit,19076000000.0,16974000000.0,14395000000.0,11514000000.0,
Cost Of Revenue,6022000000.0,5263000000.0,4489000000.0,3787000000.0,
Total Revenue,25098000000.0,22237000000.0,18884000000.0,15301000000.0,
Operating Revenue,25098000000.0,22237000000.0,18884000000.0,18899000000.0,
