,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,489200.0,
Tax Rate For Calcs,0.224,0.26,0.228,0.2,
Normalized EBITDA,411093000.0,406142000.0,395011000.0,415893000.0,
Total Unusual Items,,,401000.0,2446000.0,8063000.0
Total Unusual Items Excluding Goodwill,,,401000.0,2446000.0,8063000.0
Net Income From Continuing Operation Net Minority Interest,258055000.0,250224000.0,257888000.0,299377000.0,
Reconciled Depreciation,76410000.0,67154000.0,60246000.0,42838000.0,
Reconciled Cost Of Revenue,201073000.0,176396000.0,164117000.0,150043000.0,
EBITDA,411093000.0,406142000.0,395011000.0,418339000.0,
EBIT,334683000.0,338988000.0,334765000.0,375501000.0,
Net Interest Income,20442000.0,4340000.0,-441000.0,-1142000.0,
Interest Expense,1983000.0,700000.0,842000.0,1142000.0,
Interest Income,22425000.0,5040000.0,401000.0,,
Normalized Income,258055000.0,250224000.0,257888000.0,297420200.0,
Net Income From Continuing And Discontinued Operation,258055000.0,250224000.0,257888000.0,299377000.0,
Total Expenses,437528000.0,391424000.0,361716000.0,314397000.0,
Rent Expense Supplemental,14216000.0,14121000.0,13320000.0,13425000.0,
Total Operating Income As Reported,315019000.0,326876000.0,337235000.0,374728000.0,
Diluted Average Shares,37654000.0,37643000.0,38097000.0,38144000.0,
Basic Average Shares,37546000.0,37468000.0,37508000.0,37359000.0,
Diluted EPS,6.85,6.65,6.77,7.85,
Basic EPS,6.87,6.68,6.88,8.01,
Diluted NI Availto Com Stockholders,258055000.0,250224000.0,257888000.0,299377000.0,
Net Income Common Stockholders,258055000.0,250224000.0,257888000.0,299377000.0,
Net Income,258055000.0,250224000.0,257888000.0,299377000.0,
Net Income Including Noncontrolling Interests,258055000.0,250224000.0,257888000.0,299377000.0,
Net Income Continuous Operations,258055000.0,250224000.0,257888000.0,299377000.0,
Tax Provision,74645000.0,88064000.0,76035000.0,74982000.0,
Pretax Income,332700000.0,338288000.0,333923000.0,374359000.0,
Other Income Expense,-2761000.0,7072000.0,-2871000.0,773000.0,
Other Non Operating Income Expenses,-3496000.0,5946000.0,-2871000.0,-1673000.0,
Earnings From Equity Interest,735000.0,1126000.0,0.0,,
Gain On Sale Of Security,,,401000.0,2446000.0,8063000.0
Net Non Operating Interest Income Expense,20442000.0,4340000.0,-441000.0,-1142000.0,
Interest Expense Non Operating,1983000.0,700000.0,842000.0,1142000.0,
Interest Income Non Operating,22425000.0,5040000.0,401000.0,,
Operating Income,315019000.0,326876000.0,337235000.0,374728000.0,
Operating Expense,230602000.0,209320000.0,190800000.0,157512000.0,
Other Operating Expenses,17002000.0,17663000.0,16074000.0,21058000.0,
Depreciation Amortization Depletion Income Statement,70557000.0,61446000.0,53447000.0,35996000.0,
Depreciation And Amortization In Income Statement,70557000.0,61446000.0,53447000.0,35996000.0,
Selling General And Administration,143043000.0,130211000.0,121279000.0,100458000.0,
Selling And Marketing Expense,11049000.0,9977000.0,9059000.0,7940000.0,
General And Administrative Expense,131994000.0,120234000.0,112220000.0,92518000.0,
Other Gand A,117778000.0,106113000.0,98900000.0,79093000.0,
Rent And Landing Fees,14216000.0,14121000.0,13320000.0,13425000.0,
Salaries And Wages,,,,,131079000.0
Gross Profit,545621000.0,536196000.0,528035000.0,532240000.0,
Cost Of Revenue,206926000.0,182104000.0,170916000.0,156885000.0,
Total Revenue,752547000.0,718300000.0,698951000.0,689125000.0,
Operating Revenue,752547000.0,718300000.0,698951000.0,688246000.0,
