,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.1746,0.2342,0.2224,0.164
Normalized EBITDA,1973029000.0,2310114000.0,1662983000.0,1140897000.0
Net Income From Continuing Operation Net Minority Interest,1591611000.0,1725575000.0,1236719000.0,901248000.0
Reconciled Depreciation,16916000.0,17396000.0,19463000.0,21992000.0
Reconciled Cost Of Revenue,7051198000.0,7662271000.0,6763115000.0,5937401000.0
EBITDA,1973029000.0,2310114000.0,1662983000.0,1140897000.0
EBIT,1956113000.0,2292718000.0,1643520000.0,1118905000.0
Net Interest Income,-27740000.0,-39524000.0,-53117000.0,-40872000.0
Interest Expense,27740000.0,39524000.0,53117000.0,40872000.0
Normalized Income,1591611000.0,1725575000.0,1236719000.0,901248000.0
Net Income From Continuing And Discontinued Operation,1591611000.0,1725575000.0,1236719000.0,901248000.0
Total Expenses,7583225000.0,8250532000.0,7319983000.0,6430197000.0
Total Operating Income As Reported,1822455000.0,2169184000.0,1470329000.0,977418000.0
Diluted Average Shares,3435000.0,3509000.0,3859000.0,3917000.0
Basic Average Shares,3238000.0,3286000.0,3581000.0,3692000.0
Diluted EPS,463.31,491.82,320.48,230.11
Basic EPS,491.52,525.2,345.37,244.11
Diluted NI Availto Com Stockholders,1591611000.0,1725575000.0,1236719000.0,901248000.0
Net Income Common Stockholders,1591611000.0,1725575000.0,1236719000.0,901248000.0
Net Income,1591611000.0,1725575000.0,1236719000.0,901248000.0
Net Income Including Noncontrolling Interests,1591611000.0,1725575000.0,1236719000.0,901248000.0
Net Income Continuous Operations,1591611000.0,1725575000.0,1236719000.0,901248000.0
Tax Provision,336762000.0,527619000.0,353684000.0,176785000.0
Pretax Income,1928373000.0,2253194000.0,1590403000.0,1078033000.0
Other Income Expense,4449000.0,4963000.0,3753000.0,3249000.0
Other Non Operating Income Expenses,4449000.0,4963000.0,3753000.0,3249000.0
Net Non Operating Interest Income Expense,-27740000.0,-39524000.0,-53117000.0,-40872000.0
Interest Expense Non Operating,27740000.0,39524000.0,53117000.0,40872000.0
Operating Income,1951664000.0,2287755000.0,1639767000.0,1115656000.0
Operating Expense,532027000.0,588261000.0,556868000.0,492796000.0
Other Operating Expenses,-148010000.0,-37038000.0,-6559000.0,-16938000.0
Selling General And Administration,680037000.0,625299000.0,563427000.0,509734000.0
General And Administrative Expense,680037000.0,625299000.0,563427000.0,509734000.0
Other Gand A,680037000.0,625299000.0,563427000.0,509734000.0
Gross Profit,2483691000.0,2876016000.0,2196635000.0,1608452000.0
Cost Of Revenue,7051198000.0,7662271000.0,6763115000.0,5937401000.0
Total Revenue,9534889000.0,10538287000.0,8959750000.0,7545853000.0
Operating Revenue,9534889000.0,10538287000.0,8959750000.0,7545853000.0
