,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-25771200.0,-26182900.0,45359000.0,0.0
Tax Rate For Calcs,0.059,0.107,0.134,0.078
Normalized EBITDA,5130100000.0,5504300000.0,9330800000.0,4103200000.0
Total Unusual Items,-436800000.0,-244700000.0,338500000.0,
Total Unusual Items Excluding Goodwill,-436800000.0,-244700000.0,338500000.0,
Net Income From Continuing Operation Net Minority Interest,3953600000.0,4338400000.0,8075300000.0,3513200000.0
Reconciled Depreciation,421000000.0,341400000.0,286200000.0,235900000.0
Reconciled Cost Of Revenue,1815800000.0,1560400000.0,2437500000.0,1119900000.0
EBITDA,4693300000.0,5259600000.0,9669300000.0,4103200000.0
EBIT,4272300000.0,4918200000.0,9383100000.0,3867300000.0
Net Interest Income,422900000.0,100700000.0,-11500000.0,-56900000.0
Interest Expense,73000000.0,59400000.0,57300000.0,56900000.0
Interest Income,495900000.0,160100000.0,45800000.0,
Normalized Income,4364628800.0,4556917100.0,7782159000.0,3513200000.0
Net Income From Continuing And Discontinued Operation,3953600000.0,4338400000.0,8075300000.0,3513200000.0
Total Expenses,8884000000.0,7178900000.0,7076900000.0,4920500000.0
Total Operating Income As Reported,4047100000.0,4738900000.0,8946800000.0,3576600000.0
Diluted Average Shares,113700000.0,113500000.0,112200002.0,115100002.0
Basic Average Shares,106700000.0,107100000.0,105700002.0,107600002.0
Diluted EPS,34.77,38.22,71.969999,30.519999
Basic EPS,37.05,40.51,76.399998,32.649999
Diluted NI Availto Com Stockholders,3953600000.0,4338400000.0,8075300000.0,3513200000.0
Net Income Common Stockholders,3953600000.0,4338400000.0,8075300000.0,3513200000.0
Net Income,3953600000.0,4338400000.0,8075300000.0,3513200000.0
Net Income Including Noncontrolling Interests,3953600000.0,4338400000.0,8075300000.0,3513200000.0
Net Income Continuous Operations,3953600000.0,4338400000.0,8075300000.0,3513200000.0
Tax Provision,245700000.0,520400000.0,1250500000.0,297200000.0
Pretax Income,4199300000.0,4858800000.0,9325800000.0,3810400000.0
Other Income Expense,-456800000.0,-235900000.0,342500000.0,290700000.0
Other Non Operating Income Expenses,-20000000.0,8800000.0,4000000.0,290700000.0
Special Income Charges,-186100000.0,-255100000.0,-48000000.0,
Other Special Charges,186100000.0,255100000.0,48000000.0,
Restructuring And Mergern Acquisition,186100000.0,255100000.0,48000000.0,
Gain On Sale Of Security,-250700000.0,10400000.0,386500000.0,
Net Non Operating Interest Income Expense,422900000.0,100700000.0,-11500000.0,-56900000.0
Interest Expense Non Operating,73000000.0,59400000.0,57300000.0,56900000.0
Interest Income Non Operating,495900000.0,160100000.0,45800000.0,
Operating Income,4233200000.0,4994000000.0,8994800000.0,3576600000.0
Operating Expense,7068200000.0,5618500000.0,4639400000.0,3800600000.0
Other Operating Expenses,-2100000.0,-89900000.0,-45600000.0,-280400000.0
Research And Development,4439000000.0,3592500000.0,2860100000.0,2735000000.0
Selling General And Administration,2631300000.0,2115900000.0,1824900000.0,1346000000.0
Gross Profit,11301400000.0,10612500000.0,13634200000.0,7377200000.0
Cost Of Revenue,1815800000.0,1560400000.0,2437500000.0,1119900000.0
Total Revenue,13117200000.0,12172900000.0,16071700000.0,8497100000.0
Operating Revenue,12581100000.0,11807800000.0,15790500000.0,7940100000.0
