,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Tax Effect Of Unusual Items,0.0,0.0,-21266000.0,0.0
Tax Rate For Calcs,0.237,0.254,0.217,0.222
Total Unusual Items,0.0,0.0,-98000000.0,0.0
Total Unusual Items Excluding Goodwill,0.0,0.0,-98000000.0,0.0
Net Income From Continuing Operation Net Minority Interest,1739000000.0,1509000000.0,1403000000.0,818000000.0
Reconciled Depreciation,165000000.0,145000000.0,134000000.0,119000000.0
Net Interest Income,2375000000.0,1203000000.0,673000000.0,822000000.0
Interest Expense,1373000000.0,305000000.0,150000000.0,178000000.0
Interest Income,3748000000.0,1508000000.0,823000000.0,1000000000.0
Normalized Income,1739000000.0,1509000000.0,1479734000.0,818000000.0
Net Income From Continuing And Discontinued Operation,1739000000.0,1509000000.0,1403000000.0,818000000.0
Diluted Average Shares,216900000.0,215300000.0,211200000.0,210300000.0
Basic Average Shares,211800000.0,209900000.0,205700000.0,206400000.0
Diluted EPS,7.97,6.98,6.63,3.886667
Basic EPS,8.16,7.16,6.81,3.96
Diluted NI Availto Com Stockholders,1728000000.0,1502000000.0,1401000000.0,817000000.0
Net Income Common Stockholders,1728000000.0,1502000000.0,1401000000.0,817000000.0
Otherunder Preferred Stock Dividend,5000000.0,3000000.0,2000000.0,1000000.0
Preferred Stock Dividends,6000000.0,4000000.0,,
Net Income,1739000000.0,1509000000.0,1403000000.0,818000000.0
Net Income Including Noncontrolling Interests,1739000000.0,1509000000.0,1403000000.0,818000000.0
Net Income Continuous Operations,1739000000.0,1509000000.0,1403000000.0,818000000.0
Tax Provision,541000000.0,513000000.0,388000000.0,234000000.0
Pretax Income,2280000000.0,2022000000.0,1791000000.0,1052000000.0
Special Income Charges,0.0,0.0,-98000000.0,0.0
Restructuring And Mergern Acquisition,,,19000000.0,7000000.0
Gain On Sale Of Security,,,,83000000.0
Selling General And Administration,7299000000.0,7329000000.0,6584000000.0,5992000000.0
General And Administrative Expense,7299000000.0,7329000000.0,6584000000.0,5992000000.0
Other Gand A,,692000000.0,540000000.0,527000000.0
Salaries And Wages,7299000000.0,7329000000.0,6584000000.0,5465000000.0
Total Revenue,11468000000.0,10851000000.0,9630000000.0,7889000000.0
Operating Revenue,11468000000.0,10851000000.0,9630000000.0,7889000000.0
