,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-99820000.0,-18592000.0,-12080000.0,-28710000.0,
Tax Rate For Calcs,0.161,0.166,0.151,0.165,
Total Unusual Items,-620000000.0,-112000000.0,-80000000.0,-174000000.0,
Total Unusual Items Excluding Goodwill,-620000000.0,-112000000.0,-80000000.0,-174000000.0,
Net Income From Continuing Operation Net Minority Interest,1944000000.0,2774000000.0,2693000000.0,2420000000.0,
Reconciled Depreciation,882000000.0,1156000000.0,1557000000.0,1510000000.0,
Net Interest Income,2759000000.0,2544000000.0,1905000000.0,2200000000.0,
Interest Expense,6421000000.0,1544000000.0,3000000.0,375000000.0,
Interest Income,9180000000.0,4088000000.0,1908000000.0,2575000000.0,
Normalized Income,2464180000.0,2867408000.0,2760920000.0,2565290000.0,
Net Income From Continuing And Discontinued Operation,1944000000.0,2774000000.0,2693000000.0,2420000000.0,
Diluted Average Shares,326568000.0,370109000.0,357962000.0,357106000.0,
Basic Average Shares,322337000.0,365214000.0,352565000.0,352865000.0,
Diluted EPS,5.58,7.19,7.19,6.32,
Basic EPS,5.65,7.28,7.3,6.4,
Diluted NI Availto Com Stockholders,1821000000.0,2660000000.0,2572000000.0,2257000000.0,
Net Income Common Stockholders,1821000000.0,2660000000.0,2572000000.0,2257000000.0,
Otherunder Preferred Stock Dividend,1000000.0,2000000.0,2000000.0,1000000.0,
Preferred Stock Dividends,122000000.0,112000000.0,119000000.0,162000000.0,
Net Income,1944000000.0,2774000000.0,2693000000.0,2420000000.0,
Net Income Including Noncontrolling Interests,1944000000.0,2774000000.0,2693000000.0,2420000000.0,
Net Income Continuous Operations,1944000000.0,2774000000.0,2693000000.0,2420000000.0,
Tax Provision,372000000.0,553000000.0,478000000.0,479000000.0,
Pretax Income,2316000000.0,3327000000.0,3171000000.0,2899000000.0,
Special Income Charges,-620000000.0,-112000000.0,-80000000.0,-174000000.0,
Gain On Sale Of Business,,,53000000.0,,
Other Special Charges,432000000.0,-23000000.0,18000000.0,-9000000.0,
Restructuring And Mergern Acquisition,188000000.0,135000000.0,62000000.0,183000000.0,
Gain On Sale Of Security,-294000000.0,-2000000.0,57000000.0,4000000.0,
Depreciation Amortization Depletion Income Statement,239000000.0,238000000.0,245000000.0,234000000.0,
Depreciation And Amortization In Income Statement,239000000.0,238000000.0,245000000.0,234000000.0,
Amortization,239000000.0,238000000.0,245000000.0,234000000.0,
Amortization Of Intangibles Income Statement,239000000.0,238000000.0,245000000.0,234000000.0,
Selling General And Administration,4704000000.0,4477000000.0,4659000000.0,4445000000.0,
Selling And Marketing Expense,142000000.0,99000000.0,73000000.0,77000000.0,
General And Administrative Expense,4562000000.0,4378000000.0,4586000000.0,4368000000.0,
Other Gand A,,,12000000.0,18000000.0,43000000.0
Insurance And Claims,,,12000000.0,14000000.0,19000000.0
Salaries And Wages,4562000000.0,4378000000.0,4586000000.0,4368000000.0,
Total Revenue,11945000000.0,12125000000.0,12027000000.0,11694000000.0,
Operating Revenue,11945000000.0,12125000000.0,12027000000.0,11694000000.0,
