,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-9847000.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.229,0.239,0.233,0.229,
Total Unusual Items,-43000000.0,,,-87000000.0,
Total Unusual Items Excluding Goodwill,-43000000.0,,,-87000000.0,
Net Income From Continuing Operation Net Minority Interest,2238000000.0,3016000000.0,4221000000.0,1385000000.0,
Reconciled Depreciation,458000000.0,419000000.0,390000000.0,383000000.0,
Net Interest Income,16999000000.0,15625000000.0,14239000000.0,14402000000.0,
Interest Expense,3711000000.0,1521000000.0,1032000000.0,1665000000.0,
Interest Income,20710000000.0,17146000000.0,15271000000.0,16067000000.0,
Normalized Income,2271153000.0,3016000000.0,4221000000.0,1385000000.0,
Net Income From Continuing And Discontinued Operation,2238000000.0,3016000000.0,4221000000.0,1385000000.0,
Diluted Average Shares,423500000.0,483400000.0,569300000.0,590800000.0,
Basic Average Shares,421200000.0,480400000.0,564600000.0,589000000.0,
Diluted EPS,5.19,6.15,7.34,2.27,
Basic EPS,5.21,6.19,7.4,2.28,
Diluted NI Availto Com Stockholders,2196000000.0,2974000000.0,4179000000.0,1343000000.0,
Net Income Common Stockholders,2196000000.0,2974000000.0,4179000000.0,1343000000.0,
Preferred Stock Dividends,42000000.0,42000000.0,42000000.0,42000000.0,
Net Income,2238000000.0,3016000000.0,4221000000.0,1385000000.0,
Net Income Including Noncontrolling Interests,2238000000.0,3016000000.0,4221000000.0,1385000000.0,
Net Income Continuous Operations,2238000000.0,3016000000.0,4221000000.0,1385000000.0,
Tax Provision,666000000.0,946000000.0,1282000000.0,412000000.0,
Pretax Income,2904000000.0,3962000000.0,5503000000.0,1797000000.0,
Other Non Operating Income Expenses,,,,-3645000000.0,-3858000000.0
Special Income Charges,-43000000.0,,,-87000000.0,
Restructuring And Mergern Acquisition,43000000.0,,,87000000.0,
Selling General And Administration,2368000000.0,2168000000.0,1987000000.0,1828000000.0,
Selling And Marketing Expense,527000000.0,487000000.0,486000000.0,448000000.0,
General And Administrative Expense,1841000000.0,1681000000.0,1501000000.0,1380000000.0,
Other Gand A,,,,492000000.0,485000000.0
Salaries And Wages,1841000000.0,1681000000.0,1501000000.0,1380000000.0,
Total Revenue,13627000000.0,11674000000.0,10192000000.0,11162000000.0,
Operating Revenue,13627000000.0,11674000000.0,10192000000.0,11162000000.0,
