,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-990000.0,-1800000.0,0.0,0.0
Tax Rate For Calcs,0.11,0.15,0.18,0.17
Total Unusual Items,-9000000.0,-12000000.0,0.0,0.0
Total Unusual Items Excluding Goodwill,-9000000.0,-12000000.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,2991000000.0,2842000000.0,3662000000.0,2697000000.0
Reconciled Depreciation,722000000.0,826000000.0,870000000.0,789000000.0
EBIT,3747000000.0,3705000000.0,4798000000.0,3576000000.0
Net Interest Income,-376000000.0,-351000000.0,-340000000.0,-339000000.0
Interest Expense,376000000.0,351000000.0,340000000.0,339000000.0
Normalized Income,2999010000.0,2852200000.0,3662000000.0,2697000000.0
Net Income From Continuing And Discontinued Operation,2991000000.0,2842000000.0,3662000000.0,2697000000.0
Total Expenses,38002000000.0,33542000000.0,30358000000.0,28744000000.0
Diluted Average Shares,232200000.0,239700000.0,250800000.0,254600000.0
Basic Average Shares,229700000.0,237000000.0,248500000.0,253500000.0
Diluted EPS,12.79,11.77,14.49,10.52
Basic EPS,12.93,11.91,14.63,10.56
Diluted NI Availto Com Stockholders,2969000000.0,2822000000.0,3635000000.0,2678000000.0
Net Income Common Stockholders,2969000000.0,2822000000.0,3635000000.0,2678000000.0
Otherunder Preferred Stock Dividend,22000000.0,20000000.0,27000000.0,19000000.0
Net Income,2991000000.0,2842000000.0,3662000000.0,2697000000.0
Net Income Including Noncontrolling Interests,2991000000.0,2842000000.0,3662000000.0,2697000000.0
Net Income Continuous Operations,2991000000.0,2842000000.0,3662000000.0,2697000000.0
Tax Provision,380000000.0,512000000.0,796000000.0,540000000.0
Pretax Income,3371000000.0,3354000000.0,4458000000.0,3237000000.0
Other Income Expense,353000000.0,351000000.0,355000000.0,279000000.0
Special Income Charges,-9000000.0,-12000000.0,0.0,0.0
Impairment Of Capital Assets,9000000.0,12000000.0,0.0,0.0
Net Non Operating Interest Income Expense,-376000000.0,-351000000.0,-340000000.0,-339000000.0
Interest Expense Non Operating,376000000.0,351000000.0,340000000.0,339000000.0
Selling General And Administration,5176000000.0,4810000000.0,4677000000.0,4509000000.0
General And Administrative Expense,5176000000.0,4810000000.0,4677000000.0,4509000000.0
Other Gand A,5176000000.0,4810000000.0,4677000000.0,4509000000.0
Total Revenue,41373000000.0,36896000000.0,34816000000.0,31981000000.0
Operating Revenue,41373000000.0,36896000000.0,34816000000.0,31981000000.0
