,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,93150000.0,87249000.0,69069000.0,26910000.0,
Tax Rate For Calcs,0.225,0.229,0.231,0.234,
Normalized EBITDA,11477000000.0,12208000000.0,11544000000.0,10216000000.0,
Total Unusual Items,414000000.0,381000000.0,299000000.0,115000000.0,
Total Unusual Items Excluding Goodwill,414000000.0,381000000.0,299000000.0,115000000.0,
Net Income From Continuing Operation Net Minority Interest,6379000000.0,6998000000.0,6523000000.0,5349000000.0,
Reconciled Depreciation,2318000000.0,2246000000.0,2208000000.0,2210000000.0,
Reconciled Cost Of Revenue,13590000000.0,13670000000.0,11290000000.0,10354000000.0,
EBITDA,11891000000.0,12589000000.0,11843000000.0,10331000000.0,
EBIT,9573000000.0,10343000000.0,9635000000.0,8121000000.0,
Net Interest Income,-1288000000.0,-1248000000.0,-1153000000.0,-1129000000.0,
Interest Expense,1340000000.0,1271000000.0,1157000000.0,1141000000.0,
Interest Income,52000000.0,23000000.0,4000000.0,12000000.0,
Normalized Income,6058150000.0,6704249000.0,6293069000.0,5260910000.0,
Net Income From Continuing And Discontinued Operation,6379000000.0,6998000000.0,6523000000.0,5349000000.0,
Total Expenses,15037000000.0,14958000000.0,12466000000.0,11699000000.0,
Rent Expense Supplemental,947000000.0,898000000.0,859000000.0,875000000.0,
Total Operating Income As Reported,9082000000.0,9917000000.0,9338000000.0,7834000000.0,
Diluted Average Shares,610200000.0,624000000.0,655400000.0,679100000.0,
Basic Average Shares,609200000.0,622700000.0,653800000.0,677300000.0,
Diluted EPS,10.45,11.21,9.95,7.88,
Basic EPS,10.47,11.24,9.98,7.9,
Diluted NI Availto Com Stockholders,6379000000.0,6998000000.0,6523000000.0,5349000000.0,
Net Income Common Stockholders,6379000000.0,6998000000.0,6523000000.0,5349000000.0,
Net Income,6379000000.0,6998000000.0,6523000000.0,5349000000.0,
Net Income Including Noncontrolling Interests,6379000000.0,6998000000.0,6523000000.0,5349000000.0,
Net Income Continuous Operations,6379000000.0,6998000000.0,6523000000.0,5349000000.0,
Tax Provision,1854000000.0,2074000000.0,1955000000.0,1631000000.0,
Pretax Income,8233000000.0,9072000000.0,8478000000.0,6980000000.0,
Other Income Expense,439000000.0,403000000.0,293000000.0,275000000.0,
Other Non Operating Income Expenses,25000000.0,22000000.0,-6000000.0,160000000.0,
Special Income Charges,,,98000000.0,115000000.0,20000000.0
Gain On Sale Of Ppe,,,98000000.0,115000000.0,20000000.0
Other Special Charges,,,,,2000000.0
Gain On Sale Of Security,414000000.0,381000000.0,299000000.0,,
Net Non Operating Interest Income Expense,-1288000000.0,-1248000000.0,-1153000000.0,-1129000000.0,
Interest Expense Non Operating,1340000000.0,1271000000.0,1157000000.0,1141000000.0,
Interest Income Non Operating,52000000.0,23000000.0,4000000.0,12000000.0,
Operating Income,9082000000.0,9917000000.0,9338000000.0,7834000000.0,
Operating Expense,1447000000.0,1288000000.0,1176000000.0,1345000000.0,
Other Operating Expenses,1447000000.0,1288000000.0,1176000000.0,1345000000.0,
Gross Profit,10529000000.0,11205000000.0,10514000000.0,9179000000.0,
Cost Of Revenue,13590000000.0,13670000000.0,11290000000.0,10354000000.0,
Total Revenue,24119000000.0,24875000000.0,21804000000.0,19533000000.0,
Operating Revenue,22571000000.0,23159000000.0,20244000000.0,18251000000.0,
