,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-4900000.0,1500000.0,1856000.0,-2080000.0,
Tax Rate For Calcs,0.245,0.25,0.232,0.26,
Normalized EBITDA,1807000000.0,1460000000.0,1347000000.0,1149000000.0,
Total Unusual Items,-20000000.0,6000000.0,8000000.0,-8000000.0,
Total Unusual Items Excluding Goodwill,-20000000.0,6000000.0,8000000.0,-8000000.0,
Net Income From Continuing Operation Net Minority Interest,815000000.0,633000000.0,558000000.0,414000000.0,
Reconciled Depreciation,477000000.0,426000000.0,441000000.0,385000000.0,
Reconciled Cost Of Revenue,6577000000.0,5687000000.0,5299000000.0,5316000000.0,
EBITDA,1787000000.0,1466000000.0,1355000000.0,1141000000.0,
EBIT,1310000000.0,1040000000.0,914000000.0,756000000.0,
Net Interest Income,-218000000.0,-186000000.0,-177000000.0,-199000000.0,
Interest Expense,218000000.0,186000000.0,177000000.0,199000000.0,
Normalized Income,830100000.0,628500000.0,551856000.0,419920000.0,
Net Income From Continuing And Discontinued Operation,815000000.0,633000000.0,558000000.0,414000000.0,
Total Expenses,8411000000.0,7351000000.0,6946000000.0,6811000000.0,
Total Operating Income As Reported,1266000000.0,1011000000.0,876000000.0,745000000.0,
Diluted Average Shares,179500000.0,182800000.0,188100000.0,190400000.0,
Basic Average Shares,178800000.0,182200000.0,187700000.0,189900000.0,
Diluted EPS,4.53,3.46,2.96,2.17,
Basic EPS,4.54,3.46,2.96,2.18,
Diluted NI Availto Com Stockholders,815000000.0,633000000.0,558000000.0,413000000.0,
Average Dilution Earnings,,,0.0,0.0,1000000.0
Net Income Common Stockholders,815000000.0,633000000.0,558000000.0,413000000.0,
Otherunder Preferred Stock Dividend,,,,1200000.0,1000000.0
Preferred Stock Dividends,,,,,400000.0
Net Income,815000000.0,633000000.0,558000000.0,414000000.0,
Minority Interests,-10000000.0,-8000000.0,-7000000.0,2000000.0,
Net Income Including Noncontrolling Interests,825000000.0,641000000.0,565000000.0,412000000.0,
Net Income Continuous Operations,825000000.0,641000000.0,565000000.0,412000000.0,
Tax Provision,267000000.0,213000000.0,172000000.0,145000000.0,
Pretax Income,1092000000.0,854000000.0,737000000.0,557000000.0,
Other Income Expense,44000000.0,29000000.0,38000000.0,11000000.0,
Other Non Operating Income Expenses,39000000.0,6000000.0,10000000.0,9000000.0,
Earnings From Equity Interest,25000000.0,17000000.0,20000000.0,10000000.0,
Gain On Sale Of Security,-20000000.0,6000000.0,8000000.0,-8000000.0,
Net Non Operating Interest Income Expense,-218000000.0,-186000000.0,-177000000.0,-199000000.0,
Total Other Finance Cost,,,,,219100000.0
Interest Expense Non Operating,218000000.0,186000000.0,177000000.0,199000000.0,
Operating Income,1266000000.0,1011000000.0,876000000.0,745000000.0,
Operating Expense,1678000000.0,1529000000.0,1493000000.0,1392000000.0,
Other Operating Expenses,,,,162100000.0,209900000.0
Depreciation Amortization Depletion Income Statement,321000000.0,291000000.0,287000000.0,282000000.0,
Depreciation And Amortization In Income Statement,321000000.0,291000000.0,287000000.0,282000000.0,
Amortization,321000000.0,291000000.0,287000000.0,282000000.0,
Amortization Of Intangibles Income Statement,321000000.0,291000000.0,287000000.0,282000000.0,
Research And Development,218000000.0,209000000.0,176000000.0,162000000.0,
Selling General And Administration,1139000000.0,1029000000.0,1030000000.0,948000000.0,
Gross Profit,2944000000.0,2540000000.0,2369000000.0,2137000000.0,
Cost Of Revenue,6733000000.0,5822000000.0,5453000000.0,5419000000.0,
Total Revenue,9677000000.0,8362000000.0,7822000000.0,7556000000.0,
Operating Revenue,9677000000.0,8362000000.0,7822000000.0,7556000000.0,
